id,date,lon,lat,x,y,x.se,y.se,logit_g,logit_g.se,g,year,region
234798,2022-06-30T22:00:00Z,-70.28216886082585,42.10988061063872,-7823.775249434001,5148.793365546256,5.137433978914625,4.035797461072822,0.8292663083191062,0.17357789325293954,0.6961997722303419,2022,Cape_Cod
234798,2022-07-01T04:00:00Z,-70.19817579219632,42.14077425189668,-7814.425183803998,5153.413099989493,13.238928401255643,10.290346916025195,0.8292747834195269,0.17354885929867603,0.6962015647589792,2022,Cape_Cod
234798,2022-07-01T10:00:00Z,-70.30658974473829,42.11762696658267,-7826.493769795857,5149.951517224302,3.6189236187297302,1.9887961511683234,0.8293042618287743,0.17348264290733156,0.6962077995522743,2022,Cape_Cod
234798,2022-07-01T16:00:00Z,-70.3674431827531,42.040470032418874,-7833.2679435286855,5138.422199204488,2.495636336296953,1.7163356299186445,0.829314050262472,0.1734588815193075,0.6962098698264904,2022,Cape_Cod
234798,2022-07-01T22:00:00Z,-70.24003243175441,42.04194117128765,-7819.084643605923,5138.641894876951,1.187262697897095,0.9663363784681921,0.8293367962290797,0.17340563779039633,0.6962146806153292,2022,Cape_Cod
234798,2022-07-02T04:00:00Z,-70.26111590156813,42.05997753522312,-7821.431644729741,5141.335810551076,9.49369123173906,8.333762171781526,0.8293468010495203,0.17338712065418496,0.6962167966286886,2022,Cape_Cod
234798,2022-07-02T10:00:00Z,-70.28527049503997,42.01303540149894,-7824.120521775345,5134.326128207293,3.9823177662694174,2.513752265147075,0.8293788050693178,0.17332864808117296,0.696223565403364,2022,Cape_Cod
234798,2022-07-02T16:00:00Z,-70.26079445323128,42.029059124201595,-7821.395861264567,5136.718300777636,5.882781477840486,1.8575716206555775,0.8293958801676498,0.1733007142608571,0.6962271767115948,2022,Cape_Cod
234798,2022-07-02T22:00:00Z,-70.3873480113938,42.058011438478076,-7835.483738917295,5141.042116439737,6.413654423574742,2.7451452330892687,0.8294468040443557,0.17322088279939732,0.6962379467439345,2022,Cape_Cod
234798,2022-07-03T04:00:00Z,-70.35498157880124,41.958204006728145,-7831.880724122297,5126.144969716314,10.803205054182351,3.573826415806467,0.8294699930449325,0.17318493317665973,0.6962428509788454,2022,Cape_Cod
234798,2022-07-03T10:00:00Z,-69.84275654453833,41.74376794692369,-7774.860094136582,5094.217764638156,6.894801995083268,3.7929136114911257,0.8295032244479147,0.17313078888208777,0.6962498790006715,2022,Cape_Cod
234798,2022-07-03T16:00:00Z,-69.59629162487433,41.495608417578545,-7747.42374478118,5057.403293465558,6.086653875595556,5.291922655221212,0.8295056897948614,0.17310353247083932,0.6962504003867467,2022,Cape_Cod
234798,2022-07-03T22:00:00Z,-69.75274981052117,41.88152734310764,-7764.840590337825,5114.716254519538,9.148332883761837,5.791999778091852,0.829527092772744,0.17303033664350043,0.6962549267932132,2022,Cape_Cod
234798,2022-07-04T04:00:00Z,-69.80063442424645,42.030790994668195,-7770.171081154557,5136.976887119439,12.103210958432452,9.215390925273608,0.8295295389057553,0.17300665547878719,0.6962554441109677,2022,Cape_Cod
234798,2022-07-04T10:00:00Z,-70.12349629493332,42.08535987721426,-7806.111900195982,5145.128229337574,8.276899393888284,8.672598319388227,0.8295360405307988,0.1729471614931356,0.696256819097588,2022,Cape_Cod
234798,2022-07-04T16:00:00Z,-70.11915618290999,42.1270626053921,-7805.62876113556,5151.362424950897,3.6118740813301478,2.4861852925165535,0.8295373530895777,0.17292975583481004,0.6962570966817271,2022,Cape_Cod
234798,2022-07-04T22:00:00Z,-70.25057307793335,42.107183012775714,-7820.258022971195,5148.390083250613,10.54028142012519,5.104195020988982,0.8295521000043122,0.17285028379788622,0.6962602153967113,2022,Cape_Cod
234798,2022-07-05T04:00:00Z,-70.23742653041823,42.03048587102775,-7818.794555996122,5136.931328459291,9.623439514991464,8.143893999236113,0.8295554074356444,0.1728328816656929,0.6962609148582116,2022,Cape_Cod
234798,2022-07-05T10:00:00Z,-70.2978624876586,42.010453256661584,-7825.522255981724,5133.9406980595495,9.430748588534156,2.805620712783743,0.8295676039013351,0.17276186589067577,0.6962634941807662,2022,Cape_Cod
234798,2022-07-05T16:00:00Z,-70.37149796181467,42.03602174947606,-7833.719319469097,5137.757936516833,2.1204895615560035,1.4680094665840664,0.8295682153333988,0.17275137902805324,0.6962636234867954,2022,Cape_Cod
234798,2022-07-05T22:00:00Z,-70.2341657156594,42.0202272283281,-7818.431563757596,5135.399716883464,5.4481474788316975,2.682642368820828,0.82955717834427,0.17268923390640284,0.6962612893727655,2022,Cape_Cod
234798,2022-07-06T04:00:00Z,-70.16897296586089,42.10738693860061,-7811.174340046614,5148.42056890841,6.387818095868957,5.774092029553137,0.829556704201563,0.17267899400028006,0.6962611891003423,2022,Cape_Cod
234798,2022-07-06T10:00:00Z,-70.17801860615143,42.05532822006834,-7812.1812961176565,5140.641313992938,4.948300566399976,3.0175442713104035,0.8295596351181292,0.17261358068114738,0.6962618089347513,2022,Cape_Cod
234798,2022-07-06T16:00:00Z,-70.28771769410253,42.06280605423416,-7824.392942728858,5141.758348747531,5.918884012258451,3.7474143356294274,0.8295605344863622,0.17259532446687748,0.696261999134283,2022,Cape_Cod
234798,2022-07-06T22:00:00Z,-70.4088175963051,42.04062847231495,-7837.8737221771635,5138.445859919351,14.942230441717376,11.977306511960606,0.8295636837063135,0.1725220254944225,0.6962626651347729,2022,Cape_Cod
234798,2022-07-07T04:00:00Z,-70.52795605564627,42.03589057074064,-7851.136154804918,5137.738348289722,11.424427000331818,10.20428208874721,0.8295646388964515,0.17249316250079158,0.6962628671392684,2022,Cape_Cod
234798,2022-07-07T10:00:00Z,-70.32213380902297,42.16027372079452,-7828.224127116885,5156.330155961002,4.1888006493624905,3.2477230047437127,0.8295688601617827,0.17242005448121628,0.6962637598554652,2022,Cape_Cod
234798,2022-07-07T16:00:00Z,-70.17576799428493,42.151577242817524,-7811.930759150702,5155.0290798173355,4.812093112988003,3.6447167144936152,0.8295693850036591,0.17240730581736646,0.6962638708492954,2022,Cape_Cod
234798,2022-07-07T22:00:00Z,-70.13314355020987,42.08247692561509,-7807.185827740921,5144.6974057237885,10.38960146097363,6.740721090108074,0.8295684881908357,0.17233457997661347,0.696263681190844,2022,Cape_Cod
234798,2022-07-08T04:00:00Z,-70.2684406622133,42.07524070139711,-7822.247033354944,5143.6161229664285,10.296726181058018,5.249422667473153,0.8295675212517564,0.1723218892502126,0.6962634767019801,2022,Cape_Cod
234798,2022-07-08T10:00:00Z,-70.29528411796859,42.01329087256533,-7825.235233180754,5134.364262576109,4.196262152499523,3.5545161749221394,0.8295628442915052,0.1722758335189445,0.696262487614489,2022,Cape_Cod
234798,2022-07-08T16:00:00Z,-70.22784558769625,42.11501700565235,-7817.728010330991,5149.561288057984,3.7383336626350427,3.821389518581949,0.8295628122297473,0.17226484825194613,0.6962624808340352,2022,Cape_Cod
234798,2022-07-08T22:00:00Z,-70.30999583881517,42.10729818187779,-7826.872934454089,5148.407300311573,6.8024977793849475,5.058122124835581,0.8295666270278327,0.172216461853644,0.6962632875908923,2022,Cape_Cod
234798,2022-07-09T04:00:00Z,-70.25890036883817,42.10244678204395,-7821.185012754406,5147.682073647479,4.679949807901602,4.323934954942307,0.8295693937620124,0.17219945607729922,0.6962638727015164,2022,Cape_Cod
234798,2022-07-09T10:00:00Z,-70.21619907506717,42.12484423931824,-7816.431526475603,5151.0306944256035,3.7216262876661474,1.4061493717662268,0.8295833831233324,0.17213712797300273,0.6962668311704121,2022,Cape_Cod
234798,2022-07-09T16:00:00Z,-70.22725345962755,42.08718083208032,-7817.6620949358985,5145.400360043716,2.5798176035436393,3.4810579975321994,0.8295875215128325,0.17211864273439148,0.6962677063535441,2022,Cape_Cod
234798,2022-07-09T22:00:00Z,-70.14576090505444,42.04983230051853,-7808.590385257377,5139.820421026423,9.144887610540094,6.279790139828278,0.8296011151292272,0.1720604235030317,0.696270581110105,2022,Cape_Cod
