id,date,lon,lat,x,y,g,year,region,nc_time,nc_lon,nc_lat,SST,SSS,SSTG,SSSG
234798,2022-06-30T22:00:00Z,-70.28216886082585,42.10988061063872,-7823.775249434002,5148.793365546256,0.6961997722303419,2022,Cape_Cod,2022-06-30T22:00:00Z,-70.2486311174938,42.11366866190226,19.91949462890625,31.234188079833984,NA,NA
234798,2022-07-01T04:00:00Z,-70.19817579219632,42.14077425189669,-7814.425183803998,5153.413099989494,0.6962015647589792,2022,Cape_Cod,2022-07-01T04:00:00Z,-70.18103088916365,42.15143725205492,19.523435592651367,31.218000411987305,NA,NA
234798,2022-07-01T10:00:00Z,-70.22182571858131,42.08276570383363,-7817.057881566475,5144.740559383911,0.6962077995522743,2022,Cape_Cod,2022-07-01T10:00:00Z,-70.19786744390626,42.063673508267954,NA,NA,NA,NA
234798,2022-07-01T16:00:00Z,-70.3674431827531,42.04047003241889,-7833.267943528686,5138.422199204489,0.6962098698264904,2022,Cape_Cod,2022-07-01T16:00:00Z,-70.38362382642822,42.038019834249326,18.319528579711914,31.11066436767578,0.5915111437994361,0.25630166405476007
234798,2022-07-01T22:00:00Z,-70.24003243175441,42.04194117128765,-7819.084643605923,5138.641894876951,0.6962146806153292,2022,Cape_Cod,2022-07-01T22:00:00Z,-70.26537867172823,42.025889136816225,19.669286727905273,31.32996368408203,NA,NA
234798,2022-07-02T04:00:00Z,-70.26111590156812,42.059977535223105,-7821.43164472974,5141.335810551074,0.6962167966286886,2022,Cape_Cod,2022-07-02T04:00:00Z,-70.26537867172823,42.025889136816225,19.360132217407227,31.302593231201172,NA,NA
234798,2022-07-02T10:00:00Z,-70.20822021824804,42.05334926462197,-7815.543324197386,5140.34572088947,0.696223565403364,2022,Cape_Cod,2022-07-02T10:00:00Z,-70.19786744390626,42.063673508267954,NA,NA,NA,NA
234798,2022-07-02T16:00:00Z,-70.2607944532313,42.0290591242016,-7821.395861264568,5136.718300777637,0.6962271767115948,2022,Cape_Cod,2022-07-02T16:00:00Z,-70.26537867172823,42.025889136816225,19.30671501159668,31.268362045288086,NA,NA
234798,2022-07-02T22:00:00Z,-70.3873480113938,42.05801143847807,-7835.483738917295,5141.042116439736,0.6962379467439345,2022,Cape_Cod,2022-07-02T22:00:00Z,-70.38362382642822,42.038019834249326,16.908443450927734,31.034175872802734,1.1261914255241128,0.0879992481474619
234798,2022-07-03T04:00:00Z,-70.35498157880123,41.958204006728145,-7831.880724122295,5126.144969716314,0.6962428509788454,2022,Cape_Cod,2022-07-03T04:00:00Z,-70.33282079357025,41.98806761155507,17.601316452026367,31.09697914123535,1.64244984659903,0.22374959598892957
234798,2022-07-03T10:00:00Z,-69.95795990011707,41.7084949866714,-7787.684473017283,5088.976305440246,0.6962498790006715,2022,Cape_Cod,2022-07-03T10:00:00Z,-69.96211747915947,41.72553069391849,NA,NA,NA,NA
234798,2022-07-03T16:00:00Z,-69.59629162487434,41.49560841757854,-7747.423744781182,5057.403293465557,0.6962504003867467,2022,Cape_Cod,2022-07-03T16:00:00Z,-69.59403500228518,41.46182490527538,16.531051635742188,31.48007583618164,1.4328278195069972,0.323169049871673
234798,2022-07-03T22:00:00Z,-69.75274981052117,41.88152734310764,-7764.840590337825,5114.716254519538,0.6962549267932132,2022,Cape_Cod,2022-07-03T22:00:00Z,-69.75973632637238,41.83838564066259,17.745847702026367,31.481536865234375,1.0091920767035092,0.22846333367560898
234798,2022-07-04T04:00:00Z,-69.80063442424645,42.0307909946682,-7770.171081154557,5136.976887119442,0.6962554441109677,2022,Cape_Cod,2022-07-04T04:00:00Z,-69.77549303694207,42.064047678740195,18.72345733642578,31.241411209106445,0.752034954649125,0.13365200813751302
234798,2022-07-04T10:00:00Z,-70.12349629493332,42.08535987721426,-7806.111900195982,5145.128229337574,0.696256819097588,2022,Cape_Cod,2022-07-04T10:00:00Z,-70.13028706624044,42.10142066427968,NA,NA,NA,NA
234798,2022-07-04T16:00:00Z,-70.11915618290999,42.1270626053921,-7805.628761135561,5151.362424950898,0.6962570966817271,2022,Cape_Cod,2022-07-04T16:00:00Z,-70.13028706624044,42.10142066427968,NA,NA,NA,NA
234798,2022-07-04T22:00:00Z,-70.25057307793335,42.107183012775714,-7820.258022971195,5148.390083250612,0.6962602153967113,2022,Cape_Cod,2022-07-04T22:00:00Z,-70.2486311174938,42.11366866190226,21.223386764526367,31.19618797302246,NA,NA
234798,2022-07-05T04:00:00Z,-70.23742653041823,42.03048587102775,-7818.794555996122,5136.931328459291,0.6962609148582116,2022,Cape_Cod,2022-07-05T04:00:00Z,-70.26537867172823,42.025889136816225,21.195716857910156,31.359058380126953,NA,NA
234798,2022-07-05T10:00:00Z,-70.05953991612427,41.98223085907745,-7798.992308673978,5129.729040179632,0.6962634941807662,2022,Cape_Cod,2022-07-05T10:00:00Z,-70.02900574225606,42.00131338097937,NA,NA,NA,NA
234798,2022-07-05T16:00:00Z,-70.37149796181465,42.036021749476056,-7833.719319469096,5137.757936516831,0.6962636234867954,2022,Cape_Cod,2022-07-05T16:00:00Z,-70.38362382642822,42.038019834249326,19.266767501831055,31.29856300354004,1.034657767781033,0.32517727520565703
234798,2022-07-05T22:00:00Z,-70.2341657156594,42.02022722832812,-7818.431563757596,5135.399716883465,0.6962612893727655,2022,Cape_Cod,2022-07-05T22:00:00Z,-70.26537867172823,42.025889136816225,20.702106475830078,31.43343162536621,NA,NA
234798,2022-07-06T04:00:00Z,-70.16897296586089,42.10738693860062,-7811.174340046615,5148.420568908412,0.6962611891003423,2022,Cape_Cod,2022-07-06T04:00:00Z,-70.13028706624044,42.10142066427968,NA,NA,NA,NA
234798,2022-07-06T10:00:00Z,-70.17801860615143,42.055328220068354,-7812.181296117655,5140.641313992939,0.6962618089347513,2022,Cape_Cod,2022-07-06T10:00:00Z,-70.19786744390626,42.063673508267954,NA,NA,NA,NA
234798,2022-07-06T16:00:00Z,-70.28771769410253,42.062806054234166,-7824.392942728859,5141.758348747533,0.696261999134283,2022,Cape_Cod,2022-07-06T16:00:00Z,-70.31616208187239,42.07586283541299,19.287748336791992,31.282819747924805,0.3325543712062924,0.3505357484039275
234798,2022-07-06T22:00:00Z,-70.4088175963051,42.04062847231494,-7837.8737221771635,5138.44585991935,0.6962626651347729,2022,Cape_Cod,2022-07-06T22:00:00Z,-70.38362382642822,42.038019834249326,19.061155319213867,31.28112030029297,0.8175462067485456,0.35793491980700787
234798,2022-07-07T04:00:00Z,-70.52795605564627,42.035890570740655,-7851.136154804919,5137.738348289724,0.6962628671392684,2022,Cape_Cod,2022-07-07T04:00:00Z,-70.50190768713469,42.05004568617163,18.444631576538086,31.128339767456055,1.8110296175466434,0.21367113883636918
234798,2022-07-07T10:00:00Z,-70.32213380902297,42.16027372079452,-7828.224127116886,5156.330155961003,0.6962637598554652,2022,Cape_Cod,2022-07-07T10:00:00Z,-70.29946367291512,42.16363902460643,18.969066619873047,30.994564056396484,0.3506788142134954,0.2736370741182444
234798,2022-07-07T16:00:00Z,-70.17601794851832,42.07539266057604,-7811.9585839286865,5143.638828398998,0.6962638708492954,2022,Cape_Cod,2022-07-07T16:00:00Z,-70.19786744390626,42.063673508267954,NA,NA,NA,NA
234798,2022-07-07T22:00:00Z,-70.13314355020987,42.0824769256151,-7807.185827740921,5144.697405723789,0.696263681190844,2022,Cape_Cod,2022-07-07T22:00:00Z,-70.13028706624044,42.10142066427968,NA,NA,NA,NA
234798,2022-07-08T04:00:00Z,-70.26844066221331,42.075240701397114,-7822.247033354945,5143.61612296643,0.6962634767019801,2022,Cape_Cod,2022-07-08T04:00:00Z,-70.2486311174938,42.11366866190226,20.287363052368164,31.391719818115234,NA,NA
234798,2022-07-08T10:00:00Z,-70.29528411796859,42.01329087256533,-7825.235233180755,5134.364262576109,0.696262487614489,2022,Cape_Cod,2022-07-08T10:00:00Z,-70.26537867172823,42.025889136816225,19.702695846557617,31.346759796142578,NA,NA
234798,2022-07-08T16:00:00Z,-70.22784558769625,42.115017005652355,-7817.728010330991,5149.561288057985,0.6962624808340352,2022,Cape_Cod,2022-07-08T16:00:00Z,-70.2486311174938,42.11366866190226,20.25649642944336,31.377117156982422,NA,NA
