DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
243055,243055,Mk10,13:37:20 28-Jul-2023,Argos,B,41.7276,-69.8556,1554,3324,726,83,,,,,,
243055,243055,Mk10,13:37:20 28-Jul-2023,Argos,B,41.7551,-69.9594,2792,2985,2610,13,,,,,,
243055,243055,Mk10,13:40:14 28-Jul-2023,Argos,B,41.7011,-69.9840,2811,37777,209,81,,,,,,
243055,243055,Mk10,14:13:34 28-Jul-2023,Argos,B,41.6798,-69.8509,1481,4507,486,86,,,,,,
243055,243055,Mk10,14:35:30 28-Jul-2023,Argos,A,41.7286,-69.7076,2920,48755,174,93,,,,,,
243055,243055,Mk10,15:16:33 28-Jul-2023,Argos,A,41.6464,-69.7333,2190,7766,617,64,,,,,,
243055,243055,Mk10,15:19:27 28-Jul-2023,Argos,B,41.6439,-69.7339,3660,8862,1511,66,,,,,,
243055,243055,Mk10,15:46:47 28-Jul-2023,Argos,A,41.7562,-69.6303,1298,8920,188,93,,,,,,
243055,243055,Mk10,16:14:34 28-Jul-2023,Argos,B,41.7430,-69.6845,1771,6730,466,15,,,,,,
243055,243055,Mk10,17:37:14 28-Jul-2023,Argos,B,41.7138,-69.6901,3679,5294,2556,121,,,,,,
243055,243055,Mk10,21:00:06 28-Jul-2023,Argos,B,41.5881,-69.7185,2841,3959,2038,91,,,,,,
243055,243055,Mk10,21:38:45 28-Jul-2023,Argos,Z,41.8115,-69.6950,3655,6710,1990,47,,,,,,
243055,243055,Mk10,03:16:51 29-Jul-2023,Argos,B,41.6733,-69.7091,2775,8227,936,82,,,,,,
243055,243055,Mk10,09:01:17 29-Jul-2023,Argos,B,41.5026,-69.9056,3260,5031,2112,80,,,,,,Lat > 4 deviations from mean
243055,243055,Mk10,10:33:29 29-Jul-2023,Argos,B,41.6159,-69.8363,3273,6443,1662,147,,,,,,
243055,243055,Mk10,10:35:25 29-Jul-2023,Argos,A,41.8021,-69.8561,351,1079,114,73,,,,,,
243055,243055,Mk10,10:39:40 29-Jul-2023,Argos,B,41.7841,-69.8629,1271,10995,146,84,,,,,,
243055,243055,Mk10,11:36:02 29-Jul-2023,Argos,B,41.7767,-69.9026,1632,13237,201,150,,,,,,
243055,243055,Mk10,12:30:14 29-Jul-2023,Argos,B,41.7635,-69.9185,2261,2907,1758,127,,,,,,
243055,243055,Mk10,13:12:16 29-Jul-2023,Argos,B,41.7483,-69.9199,1494,1694,1316,102,,,,,,
243055,243055,Mk10,13:25:28 29-Jul-2023,Argos,A,41.7818,-69.8928,116,327,41,87,,,,,,
243055,243055,Mk10,13:59:18 29-Jul-2023,Argos,B,41.7800,-69.8949,799,1105,578,92,,,,,,
243055,243055,Mk10,14:13:12 29-Jul-2023,Argos,A,41.8622,-69.8378,1475,16991,128,84,,,,,,
243055,243055,Mk10,14:54:37 29-Jul-2023,Argos,B,41.8583,-69.8411,4327,6475,2891,90,,,,,,
243055,243055,Mk10,15:03:05 29-Jul-2023,Argos,B,41.7797,-69.9042,1423,1851,1093,94,,,,,,
243055,243055,Mk10,15:05:37 29-Jul-2023,Argos,B,41.8040,-69.7757,2534,9868,650,55,,,,,,
243055,243055,Mk10,15:13:50 29-Jul-2023,Argos,B,41.8543,-69.8494,2933,4044,2126,88,,,,,,
243055,243055,Mk10,15:34:46 29-Jul-2023,Argos,0,41.8158,-69.9355,5075,84058,306,100,,,,,,
243055,243055,Mk10,15:54:04 29-Jul-2023,Argos,B,41.8048,-69.8578,4330,16592,1129,11,,,,,,
243055,243055,Mk10,16:51:02 29-Jul-2023,Argos,2,41.7978,-69.9203,428,1560,117,100,,,,,,
243055,243055,Mk10,17:16:27 29-Jul-2023,Argos,B,41.7741,-69.8921,2516,8662,731,59,,,,,,
243055,243055,Mk10,21:59:46 29-Jul-2023,Argos,B,41.7394,-70.0003,9235,20031,4257,81,,,,,,
243055,243055,Mk10,21:59:46 29-Jul-2023,Argos,B,41.7524,-69.9908,10915,14574,8174,86,,,,,,
243055,243055,Mk10,23:12:56 29-Jul-2023,Argos,B,41.8041,-69.8378,4243,46567,386,145,,,,,,
243055,243055,Mk10,10:04:09 30-Jul-2023,Argos,1,41.7878,-69.8407,1016,5250,196,83,,,,,,
243055,243055,Mk10,10:04:09 30-Jul-2023,Argos,B,41.7853,-69.8453,1019,5087,204,87,,,,,,
243055,243055,Mk10,10:13:00 30-Jul-2023,Argos,2,41.7729,-69.8596,419,3865,45,72,,,,,,
243055,243055,Mk10,11:10:13 30-Jul-2023,Argos,B,41.7814,-69.8531,2195,3195,1507,87,,,,,,
