Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
243055,15-Jun-2023,18:15:01,1,,70,10,0,4,,,,,,,,,,,,,,,15,11,11767,,,,20,6224,,,,25,13781,,,,6,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,15-Jun-2023,20:30:01,1,,73,13,0,4,,,,,,,,,,,,,,,15,13,24193,,,,5,15429,,,,29,11790,,,,15,15516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,15-Jun-2023,21:00:01,1,,74,13,0,4,,,,,,,,,,,,,,,15,13,28572,,,,15,11020,,,,23,30299,,,,5,29501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,15-Jun-2023,22:00:02,1,,75,15,0,4,,,,,,,,,,,,,,,15,15,2297,,,,13,4557,,,,18,20358,,,,29,6462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,25-Jul-2023,15:50:54,1,3.000000,81,19,0,5,,,,,,,,,,,,,,,15,13,932,,,,6,32370,,,,9,24623,,,,17,10078,,,,19,2436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,25-Jul-2023,18:03:36,1,3.000000,85,19,0,4,,,,,,,,,,,,,,,15,23,27980,,,,13,20311,,,,15,30260,,,,29,27904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,26-Jul-2023,01:42:36,1,3.000000,94,25,0,7,,,,,,,,,,,,,,,15,31,17500,,,,3,5909,,,,28,14618,,,,12,30495,,,,25,11763,,,,22,3410,,,,1,12514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,26-Jul-2023,08:16:40,1,3.000000,96,32,0,5,,,,,,,,,,,,,,,15,16,8597,,,,21,25025,,,,2,12677,,,,8,8723,,,,30,25031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,26-Jul-2023,10:25:40,1,3.000000,100,32,0,5,,,,,,,,,,,,,,,15,3,6250,,,,1,8594,,,,21,3799,,,,2,28218,,,,8,24559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,26-Jul-2023,15:13:37,1,3.000000,106,38,0,5,,,,,,,,,,,,,,,15,9,27424,,,,6,5546,,,,17,15932,,,,19,10592,,,,11,5185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
