DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
BOF1,267425,,Transmission,Mk10,1,02:00:30 09-Sep-2024,02:07:50 09-Sep-2024,Dive,1,Square,4.5,4.5,439,441,,
BOF1,267425,,Transmission,Mk10,1,02:07:50 09-Sep-2024,02:13:26 09-Sep-2024,Surface,,,,,335,337,195,141
BOF1,267425,,Transmission,Mk10,1,02:13:26 09-Sep-2024,02:19:36 09-Sep-2024,Dive,1,Square,4.5,4.5,369,371,,
BOF1,267425,,Transmission,Mk10,1,02:19:36 09-Sep-2024,02:24:18 09-Sep-2024,Surface,,,,,281,283,136,146
BOF1,267425,,Transmission,Mk10,1,02:24:18 09-Sep-2024,02:35:12 09-Sep-2024,Dive,1,Square,8.5,8.5,653,655,,
BOF1,267425,,Transmission,Mk10,1,02:35:12 09-Sep-2024,02:50:22 09-Sep-2024,Surface,,,,,909,911,499,411
BOF1,267425,,Transmission,Mk10,1,02:50:22 09-Sep-2024,02:58:58 09-Sep-2024,Dive,1,Square,6.0,6.0,515,517,,
BOF1,267425,,Transmission,Mk10,1,02:58:58 09-Sep-2024,03:02:28 09-Sep-2024,Surface,,,,,209,211,190,20
BOF1,267425,,Transmission,Mk10,1,07:40:00 09-Sep-2024,08:29:54 09-Sep-2024,Message,10,,,,2984.000000,3004.000000,,
BOF1,267425,,Transmission,Mk10,1,07:40:00 09-Sep-2024,07:44:16 09-Sep-2024,Dive,1,Square,5.5,5.5,255,257,,
BOF1,267425,,Transmission,Mk10,1,07:44:16 09-Sep-2024,07:45:12 09-Sep-2024,Surface,,,,,55,57,52,4
BOF1,267425,,Transmission,Mk10,1,07:45:12 09-Sep-2024,07:49:34 09-Sep-2024,Dive,1,Square,5.5,5.5,261,263,,
BOF1,267425,,Transmission,Mk10,1,07:49:34 09-Sep-2024,07:50:10 09-Sep-2024,Surface,,,,,35,37,35,1
BOF1,267425,,Transmission,Mk10,1,07:50:10 09-Sep-2024,07:54:16 09-Sep-2024,Dive,1,Square,5.5,5.5,245,247,,
BOF1,267425,,Transmission,Mk10,1,07:54:16 09-Sep-2024,07:56:26 09-Sep-2024,Surface,,,,,129,131,88,42
BOF1,267425,,Transmission,Mk10,1,07:56:26 09-Sep-2024,08:00:58 09-Sep-2024,Dive,1,U,18.0,18.0,271,273,,
BOF1,267425,,Transmission,Mk10,1,08:00:58 09-Sep-2024,08:11:32 09-Sep-2024,Surface,,,,,633,635,205,429
BOF1,267425,,Transmission,Mk10,1,08:11:32 09-Sep-2024,08:17:26 09-Sep-2024,Dive,1,U,9.5,9.5,353,355,,
BOF1,267425,,Transmission,Mk10,1,08:17:26 09-Sep-2024,08:29:54 09-Sep-2024,Surface,,,,,747,749,362,386
BOF1,267425,,Transmission,Mk10,1,08:30:00 09-Sep-2024,09:09:32 09-Sep-2024,Message,10,,,,2362.000000,2382.000000,,
BOF1,267425,,Transmission,Mk10,1,08:30:00 09-Sep-2024,08:33:24 09-Sep-2024,Dive,1,U,12.0,12.0,203,205,,
BOF1,267425,,Transmission,Mk10,1,08:33:24 09-Sep-2024,08:33:40 09-Sep-2024,Surface,,,,,15,17,15,1
BOF1,267425,,Transmission,Mk10,1,08:33:40 09-Sep-2024,08:38:20 09-Sep-2024,Dive,1,U,8.0,8.0,279,281,,
BOF1,267425,,Transmission,Mk10,1,08:38:20 09-Sep-2024,08:39:14 09-Sep-2024,Surface,,,,,53,55,54,0
