DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
BOF1,267425,,Mk10,,20:58:53 24-Jul-2024,20:58:54 24-Jul-2024,1,3,44.9013,-66.9939,CRC,1,0,,,,0.992,0.064,,0.0,0.0,-2,,,,,,,,,,,255,255,255,80,,,,,,,,109,16,0,,,,,,,,,,
BOF1,267425,,Mk10,,,18:20:59 08-Aug-2024,,B,44.8904,-66.4457,CRC,0,0,,707,3.376,0.984,0.336,15.30,0.5,0.0,-2,,,,,,,,,,,224,22,22,80,,,,,,,,116,18,0,,,,,,,,,,
BOF1,267425,,Mk10,,21:37:46 09-Aug-2024,21:37:47 09-Aug-2024,1,0,44.7848,-66.5311,CRC,0,0,,,,0.992,0.164,,1.0,58.0,-1,,,,,,,,,,,170,18,255,80,16,,,,,,,199,94,0,,,,,,,,,,
BOF1,267425,,Mk10,,08:43:30 10-Aug-2024,08:43:31 10-Aug-2024,1,1,44.8570,-66.4886,CRC,0,0,,,,0.992,0.212,,1.0,58.0,-2,,,,,,,,,,,175,18,255,80,16,,,,,,,234,124,0,,,,,,,,,,
BOF1,267425,,Mk10,,,09:26:58 10-Aug-2024,,1,44.8848,-66.5054,CRC,0,0,,1411,3.440,0.992,0.188,13.40,1.5,58.0,-2,,,,,,,,,,,155,18,255,80,16,,,,,,,236,126,0,,,,,,,,,,
BOF1,267425,,Mk10,,23:22:55 10-Aug-2024,23:22:56 10-Aug-2024,1,B,44.6900,-66.4160,CRC,0,0,,,,0.992,0.144,,1.0,58.0,-2,,,,,,,,,,,134,18,255,80,16,,,,,,,279,165,0,,,,,,,,,,
BOF1,267425,,Mk10,,,22:44:55 14-Aug-2024,,A,44.9858,-66.7712,CRC,0,0,,3395,3.504,0.992,0.152,14.30,1.0,50.0,-2,,,,,,,,,,,209,18,255,80,16,,,,,,,577,431,0,,,,,,,,,,
BOF1,267425,,Mk10,,01:37:26 15-Aug-2024,01:37:27 15-Aug-2024,1,B,45.0115,-66.8008,CRC,0,0,,,,0.992,0.148,,1.0,52.0,-2,,,,,,,,,,,198,18,255,80,16,,,,,,,586,438,0,,,,,,,,,,
BOF1,267425,,Mk10,,16:31:37 16-Aug-2024,16:31:37 16-Aug-2024,0,0,44.1259,-67.8392,CRC,0,0,,,,0.992,0.144,,1.0,46.0,-2,,,,,,,,,,,233,18,255,80,16,,,,,,,695,536,0,,,,,,,,,,
BOF1,267425,,Mk10,,,22:10:53 18-Aug-2024,,A,44.2485,-67.6987,CRC,0,0,,4931,3.440,0.992,0.148,16.30,1.5,66.0,-2,,,,,,,,,,,207,17,255,80,16,,,,,,,854,676,0,,,,,,,,,,
BOF1,267425,,Mk10,,23:25:15 18-Aug-2024,23:25:16 18-Aug-2024,1,B,44.1873,-67.6809,CRC,0,0,,,,0.992,0.128,,1.0,66.0,-2,,,,,,,,,,,110,17,255,80,16,,,,,,,858,680,0,,,,,,,,,,
BOF1,267425,,Mk10,,,00:21:31 19-Aug-2024,,2,44.1960,-67.6972,CRC,0,0,,4995,3.504,0.992,0.156,15.50,1.0,74.0,-2,,,,,,,,,,,226,17,255,80,16,,,,,,,862,684,0,,,,,,,,,,
BOF1,267425,,Mk10,,13:48:42 20-Aug-2024,13:48:43 20-Aug-2024,1,A,44.0950,-67.7960,CRC,0,0,,,,0.992,0.132,,1.0,66.0,-2,,,,,,,,,,,202,17,255,80,16,,,,,,,983,800,0,,,,,,,,,,
BOF1,267425,,Mk10,,13:47:21 24-Aug-2024,13:47:21 24-Aug-2024,0,B,44.1013,-67.7488,CRC,0,0,,,,0.984,0.252,,1.0,66.0,-2,,,,,,,,,,,190,17,255,80,16,,,,,,,1295,1099,0,,,,,,,,,,
