DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
BOF1,267425,Mk10,Strong,24-Jul-2024,20:58:53,24-Jul-2024,20:58:54
BOF1,267425,Mk10,Strong,15-Sep-2024,13:46:09,15-Sep-2024,13:46:09
