DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
CCS-0064,243056,Mk10,Strong,27-Jul-2024,18:30:29,27-Jul-2024,18:30:17
CCS-0064,243056,Mk10,Strong,27-Aug-2024,11:15:58,27-Aug-2024,11:15:48
