DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
234798,234798,,Mk10,00:00:00 30-Jun-2022,,,,0.000000,0.000000,Status,19.000000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 01-Jul-2022,,,,0.000000,0.000000,Status,25.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 02-Jul-2022,,,,0.000000,0.000000,Behavior,21.000000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 03-Jul-2022,,,,0.000000,0.000000,Behavior,21.000000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 04-Jul-2022,,,,0.000000,0.000000,Behavior,25.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 05-Jul-2022,,,,0.000000,0.000000,Behavior,29.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 06-Jul-2022,,,,0.000000,0.000000,Behavior,29.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 07-Jul-2022,,,,0.000000,0.000000,Status,28.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 08-Jul-2022,,,,0.000000,0.000000,Behavior,31.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 09-Jul-2022,,,,0.000000,0.000000,Status,31.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 10-Jul-2022,,,,0.000000,0.000000,Status,24.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 11-Jul-2022,,,,0.000000,0.000000,Status,26.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 12-Jul-2022,,,,0.000000,0.000000,Status,26.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 13-Jul-2022,,,,0.000000,0.000000,Behavior,26.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 14-Jul-2022,,,,0.000000,0.000000,Behavior,24.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 15-Jul-2022,,,,0.000000,0.000000,Behavior,22.000000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 16-Jul-2022,,,,0.000000,0.000000,Status,21.000000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 17-Jul-2022,,,,0.000000,0.000000,Behavior,22.000000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 18-Jul-2022,,,,0.000000,0.000000,Behavior,25.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 19-Jul-2022,,,,0.000000,0.000000,Behavior,30.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 20-Jul-2022,,,,0.000000,0.000000,Behavior,23.000000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 21-Jul-2022,,,,0.000000,0.000000,Behavior,31.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 22-Jul-2022,,,,0.000000,0.000000,Status,22.500000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 23-Jul-2022,,,,0.000000,0.000000,Behavior,23.500000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 24-Jul-2022,,,,0.000000,0.000000,Status,28.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 25-Jul-2022,,,,0.000000,0.000000,Behavior,30.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 26-Jul-2022,,,,0.000000,0.000000,Behavior,29.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 27-Jul-2022,,,,0.000000,0.000000,Status,30.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 28-Jul-2022,,,,0.000000,0.000000,Status,29.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 29-Jul-2022,,,,0.000000,0.000000,Behavior,28.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 30-Jul-2022,,,,0.000000,0.000000,Behavior,27.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 31-Jul-2022,,,,0.000000,0.000000,Status,25.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 01-Aug-2022,,,,0.000000,0.000000,Status,22.500000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 02-Aug-2022,,,,0.000000,0.000000,Behavior,24.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 03-Aug-2022,,,,0.000000,0.000000,Behavior,26.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 04-Aug-2022,,,,0.000000,0.000000,Behavior,26.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 05-Aug-2022,,,,0.000000,0.000000,Behavior,21.000000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 06-Aug-2022,,,,0.000000,0.000000,Behavior,23.500000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 07-Aug-2022,,,,0.000000,0.000000,Status,25.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 08-Aug-2022,,,,0.000000,0.000000,Behavior,26.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 09-Aug-2022,,,,0.000000,0.000000,Behavior,30.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 10-Aug-2022,,,,0.000000,0.000000,Status,32.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 11-Aug-2022,,,,0.000000,0.000000,Behavior,23.500000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 12-Aug-2022,,,,0.000000,0.000000,Behavior,23.000000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 13-Aug-2022,,,,0.000000,0.000000,Behavior,20.000000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 14-Aug-2022,,,,0.000000,0.000000,Status,25.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 15-Aug-2022,,,,0.000000,0.000000,Behavior,29.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 16-Aug-2022,,,,0.000000,0.000000,Status,18.000000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 17-Aug-2022,,,,0.000000,0.000000,Behavior,22.500000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 18-Aug-2022,,,,0.000000,0.000000,Behavior,30.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 19-Aug-2022,,,,0.000000,0.000000,Behavior,32.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 20-Aug-2022,,,,0.000000,0.000000,Status,32.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 21-Aug-2022,,,,0.000000,0.000000,Behavior,18.500000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 22-Aug-2022,,,,0.000000,0.000000,Behavior,30.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 23-Aug-2022,,,,0.000000,0.000000,Behavior,23.000000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 24-Aug-2022,,,,0.000000,0.000000,Behavior,24.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 25-Aug-2022,,,,0.000000,0.000000,Behavior,61.750000,0.750000,Behavior
234798,234798,,Mk10,00:00:00 26-Aug-2022,,,,0.000000,0.000000,Behavior,48.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 27-Aug-2022,,,,0.000000,0.000000,Behavior,11.000000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 28-Aug-2022,,,,0.000000,0.000000,Behavior,29.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 29-Aug-2022,,,,0.000000,0.000000,Behavior,49.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 30-Aug-2022,,,,0.000000,0.000000,Behavior,30.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 31-Aug-2022,,,,0.000000,0.000000,Behavior,30.750000,0.250000,Behavior
234798,234798,,Mk10,00:00:00 01-Sep-2022,,,,0.000000,0.000000,Behavior,19.500000,0.000000,Behavior
234798,234798,,Mk10,00:00:00 02-Sep-2022,,,,0.000000,0.000000,Behavior,23.500000,0.000000,Behavior
