Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
17552,243060,27,NN,A,1,02-Aug-2024,16:18:36,44.2699,-79.8868,,401650000,-129,,0,02-Aug-2024,16:11:58,42.5483,-69.8015,631,,,,,,,117,136,194,4,247,164,223,204,54,37,14,8,58,10,41,211,9,111,172,142,180,71,186,46,25,36,140,,,,,
17552,243060,27,NN,A,1,02-Aug-2024,16:18:36,44.2699,-79.8868,,401650000,-129,,2,02-Aug-2024,16:22:29,42.5483,-69.8015,631,,,,,,,117,136,194,4,247,164,223,204,54,37,14,8,58,10,41,211,9,111,172,142,180,71,186,46,25,36,140,,,,,
17552,243060,23,MC,A,2,02-Aug-2024,16:35:48,42.1667,-69.8725,,401677611,-124,6,0,02-Aug-2024,16:35:49,42.1667,-69.8725,248,,,,,,,126,189,162,5,7,39,16,231,111,170,56,255,186,111,43,12,201,130,136,208,153,253,20,,,,,,,,,
17552,243060,31,MC,A,2,02-Aug-2024,16:35:48,42.1667,-69.8725,,401677611,-124,6,0,02-Aug-2024,16:39:25,42.1667,-69.8725,248,,,,,,,185,110,242,4,253,65,60,10,195,208,20,144,29,135,32,40,80,67,10,129,24,225,88,102,65,160,14,194,1,0,0,
17552,243060,23,MC,A,2,02-Aug-2024,16:35:48,42.1667,-69.8725,,401677611,-124,6,0,02-Aug-2024,16:39:57,42.1667,-69.8725,248,,,,,,,126,189,162,5,6,39,16,229,111,139,56,255,186,111,47,8,201,146,136,192,0,0,0,,,,,,,,,
17552,243060,27,O3,B,3,02-Aug-2024,17:20:48,42.1693,-69.8669,,401677648,-129,6,0,02-Aug-2024,17:20:48,42.1693,-69.8669,,8410,13584,5207,71,,,4,2,5,21,27,172,42,82,90,39,191,76,173,126,24,42,78,108,70,100,116,35,106,226,84,175,236,,,,,
17552,243060,23,NN,B,4,02-Aug-2024,17:55:37,42.1692,-69.8667,,401677650,-137,8,0,02-Aug-2024,17:55:38,42.1692,-69.8667,,6982,9920,4913,81,,,121,114,242,5,20,128,208,252,177,125,9,254,242,23,11,6,73,146,200,192,0,0,0,,,,,,,,,
17552,243060,23,O3,B,5,02-Aug-2024,18:53:17,42.1861,-69.8564,,401677605,-137,8,0,02-Aug-2024,18:53:18,,,,7118,10165,4983,87,,,103,191,163,37,6,39,48,231,110,139,56,255,186,111,47,8,201,146,136,192,0,0,0,,,,,,,,,
17552,243060,27,CS,A,6,02-Aug-2024,19:47:19,42.1375,-70.0355,,401677624,-126,7,0,02-Aug-2024,19:46:34,,,92,7723,39186,1522,112,,,4,156,213,59,140,3,118,52,55,183,207,229,0,80,84,85,72,0,3,132,100,128,57,128,48,129,128,,,,,
17552,243060,31,CS,A,6,02-Aug-2024,19:47:19,42.1375,-70.0355,,401677624,-126,7,0,02-Aug-2024,19:47:19,,,92,7723,39186,1522,112,,,209,237,18,5,24,1,108,201,224,78,26,163,163,27,61,128,226,143,40,233,23,116,15,56,1,71,240,240,200,226,120,
17552,243060,31,CS,A,6,02-Aug-2024,19:47:19,42.1375,-70.0355,,401677624,-126,7,0,02-Aug-2024,19:48:06,,,92,7723,39186,1522,112,,,176,27,66,5,9,0,209,14,193,112,79,208,134,23,128,88,4,176,76,129,130,21,136,32,22,224,236,52,0,0,0,
17552,243060,27,NK,B,7,02-Aug-2024,21:15:25,42.1461,-70.1993,,401677628,-133,8,0,02-Aug-2024,21:14:57,42.1461,-70.1993,57,6617,8195,5342,15,,,25,142,2,4,250,115,12,138,9,137,155,178,66,255,3,144,59,131,124,250,250,186,49,230,191,105,190,,,,,
17552,243060,23,NK,B,7,02-Aug-2024,21:15:25,42.1461,-70.1993,,401677628,-133,8,0,02-Aug-2024,21:15:54,42.1461,-70.1993,57,6617,8195,5342,15,,,121,114,242,5,20,128,208,247,168,189,151,93,174,65,213,101,101,8,63,152,123,193,224,,,,,,,,,
17552,243060,27,CS,A,8,02-Aug-2024,21:30:17,41.6975,-70.0002,,401677660,-133,7,0,02-Aug-2024,21:29:21,41.6975,-70.0002,103,31621,74835,13361,95,,,114,107,254,123,52,41,202,57,175,80,102,244,245,254,53,110,207,236,113,120,121,119,7,155,48,11,250,,,,,
17552,243060,23,CS,A,8,02-Aug-2024,21:30:17,41.6975,-70.0002,,401677660,-133,7,0,02-Aug-2024,21:30:29,41.6975,-70.0002,103,31621,74835,13361,95,,,113,215,194,5,22,101,209,190,155,74,167,138,240,215,186,31,233,147,15,196,65,225,99,,,,,,,,,
17552,243060,31,CS,A,8,02-Aug-2024,21:30:17,41.6975,-70.0002,,401677660,-133,7,0,02-Aug-2024,21:31:04,41.6975,-70.0002,103,31621,74835,13361,95,,,183,204,210,5,18,129,216,12,197,112,11,3,196,28,64,240,4,52,60,3,4,41,135,0,115,193,76,13,0,2,0,
17552,243060,27,SR,0,9,02-Aug-2024,21:46:34,42.2046,-69.8811,,401677613,-127,46,0,02-Aug-2024,21:43:41,42.2046,-69.8811,485,5051,10810,2360,39,,,4,2,5,90,211,31,25,50,151,177,160,5,0,80,84,85,68,0,2,128,61,0,22,122,64,0,0,,,,,
17552,243060,31,SR,0,9,02-Aug-2024,21:46:34,42.2046,-69.8811,,401677613,-127,46,0,02-Aug-2024,21:44:03,42.2046,-69.8811,485,5051,10810,2360,39,,,185,110,242,4,253,65,60,10,195,208,20,144,29,135,32,40,80,67,10,129,24,225,88,102,65,160,14,194,1,0,0,
17552,243060,31,SR,0,9,02-Aug-2024,21:46:34,42.2046,-69.8811,,401677613,-127,46,0,02-Aug-2024,21:44:29,42.2046,-69.8811,485,5051,10810,2360,39,,,180,217,242,5,60,1,191,20,212,36,195,246,41,153,200,26,209,13,64,80,82,24,150,100,152,161,113,76,237,60,0,
17552,243060,27,SR,0,9,02-Aug-2024,21:46:34,42.2046,-69.8811,,401677613,-127,46,0,02-Aug-2024,21:45:40,42.2046,-69.8811,485,5051,10810,2360,39,,,25,142,2,4,250,115,12,138,9,140,155,178,66,255,7,144,30,131,178,189,120,128,51,127,100,90,246,,,,,
17552,243060,23,SR,0,9,02-Aug-2024,21:46:34,42.2046,-69.8811,,401677613,-127,46,0,02-Aug-2024,21:49:51,42.2046,-69.8811,485,5051,10810,2360,39,,,121,114,242,5,20,128,208,252,177,125,9,254,242,23,11,6,73,146,200,192,1,8,10,,,,,,,,,
17552,243060,23,SR,0,9,02-Aug-2024,21:46:34,42.2046,-69.8811,,401677613,-127,46,0,02-Aug-2024,21:51:46,42.2046,-69.8811,485,5051,10810,2360,39,,,122,189,162,5,6,39,16,229,111,139,56,255,186,111,47,8,201,146,136,192,0,0,0,,,,,,,,,
17552,243060,23,NK,B,10,02-Aug-2024,23:00:05,42.1018,-69.9241,,401677638,-135,7,0,02-Aug-2024,23:00:05,42.1018,-69.9241,,43347,84566,22218,87,,,118,70,146,5,79,139,85,71,212,225,168,83,23,19,16,130,98,96,204,103,18,192,17,,,,,,,,,
17552,243060,31,NK,A,11,03-Aug-2024,00:35:02,42.1768,-69.3454,,401677753,-129,5,0,03-Aug-2024,00:34:47,42.1768,-69.3454,32,21401,52512,8721,122,,,176,27,66,5,9,0,209,14,193,112,79,208,134,23,128,88,4,176,76,129,130,21,136,32,22,224,229,84,170,133,84,
17552,243060,27,NK,A,11,03-Aug-2024,00:35:02,42.1768,-69.3454,,401677753,-129,5,0,03-Aug-2024,00:35:02,42.1768,-69.3454,32,21401,52512,8721,122,,,25,142,2,4,250,115,12,138,9,137,155,178,66,255,7,147,30,193,224,80,224,144,199,238,60,231,53,,,,,
17552,243060,23,NK,A,11,03-Aug-2024,00:35:02,42.1768,-69.3454,,401677753,-129,5,0,03-Aug-2024,00:35:19,42.1768,-69.3454,32,21401,52512,8721,122,,,118,70,146,5,103,138,85,71,125,175,49,233,139,141,200,157,217,59,49,37,18,211,1,,,,,,,,,
17552,243060,27,MC,1,12,03-Aug-2024,00:38:28,42.3478,-69.7082,,401677654,-116,48,0,03-Aug-2024,00:38:21,42.3478,-69.7082,524,1154,2339,569,91,,,114,105,242,5,52,72,153,243,250,76,130,223,38,197,51,70,129,183,131,220,45,7,206,50,155,73,217,,,,,
17552,243060,23,MC,1,12,03-Aug-2024,00:38:28,42.3478,-69.7082,,401677654,-116,48,0,03-Aug-2024,00:38:36,42.3478,-69.7082,524,1154,2339,569,91,,,125,189,114,5,36,203,87,3,81,203,56,231,209,149,233,175,253,174,183,153,52,140,0,,,,,,,,,
17552,243060,23,MC,1,12,03-Aug-2024,00:38:28,42.3478,-69.7082,,401677654,-116,48,0,03-Aug-2024,00:41:17,42.3478,-69.7082,524,1154,2339,569,91,,,113,215,194,5,22,101,209,190,155,74,167,138,240,215,186,31,233,147,8,192,0,0,0,,,,,,,,,
