DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
CS-0518,243060,Mk10,Strong,02-Aug-2024,21:43:19,02-Aug-2024,21:43:41
CS-0518,243060,Mk10,Strong,03-Aug-2024,18:06:13,03-Aug-2024,18:06:35
