DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error Radius,Error Semi-Major Axis,Error Semi-Minor Axis,Error Ellipse Orientation,Offset,Offset Orientation,GPE MSD,GPE U,Count,Comment
CCS-0518,243060,Mk10,17:23:23 04-Aug-2024,Argos,0,43.4413,-69.3992,3394,5525,2084,59,,,,,,
CCS-0518,243060,Mk10,17:33:45 04-Aug-2024,Argos,B,43.3245,-69.3489,4105,7195,2342,121,,,,,,
CCS-0518,243060,Mk10,20:02:32 04-Aug-2024,Argos,2,43.4847,-69.4339,395,611,255,46,,,,,,
CCS-0518,243060,Mk10,20:06:46.171000 04-Aug-2024,FastGPS,4,43.4872,-69.4366,,,,,,,,,,
CCS-0518,243060,Mk10,21:32:18.285000 04-Aug-2024,FastGPS,4,43.5368,-69.3490,,,,,,,,,,
CCS-0518,243060,Mk10,21:38:03 04-Aug-2024,Argos,B,43.5273,-69.4908,2852,4413,1843,71,,,,,,
CCS-0518,243060,Mk10,21:48:04 04-Aug-2024,Argos,B,43.4994,-69.4499,3340,5457,2043,104,,,,,,
CCS-0518,243060,Mk10,22:09:33 04-Aug-2024,Argos,A,43.4345,-69.3144,5722,19907,1644,49,,,,,,
CCS-0518,243060,Mk10,22:28:54 04-Aug-2024,Argos,B,43.5210,-69.4786,3806,5466,2649,92,,,,,,
CCS-0518,243060,Mk10,23:56:35 04-Aug-2024,Argos,B,43.5778,-69.5242,13003,24088,7018,112,,,,,,
CCS-0518,243060,Mk10,00:03:30 05-Aug-2024,Argos,1,43.5715,-69.3029,634,2114,190,87,,,,,,
CCS-0518,243060,Mk10,00:43:21 05-Aug-2024,Argos,1,43.5663,-69.2988,957,2923,313,84,,,,,,
CCS-0518,243060,Mk10,00:44:09 05-Aug-2024,Argos,A,43.5693,-69.2895,946,1341,666,119,,,,,,
CCS-0518,243060,Mk10,00:55:06 05-Aug-2024,Argos,B,43.5696,-69.2891,2204,3011,1612,93,,,,,,
CCS-0518,243060,Mk10,01:25:27 05-Aug-2024,Argos,B,43.5722,-69.2826,1878,3420,1030,17,,,,,,
CCS-0518,243060,Mk10,01:38:48 05-Aug-2024,Argos,B,43.5815,-69.2805,965,1408,660,134,,,,,,
CCS-0518,243060,Mk10,01:38:48 05-Aug-2024,Argos,A,43.5758,-69.2781,340,1793,64,98,,,,,,
CCS-0518,243060,Mk10,02:13:12 05-Aug-2024,Argos,B,43.5891,-69.2857,888,1341,587,91,,,,,,
CCS-0518,243060,Mk10,03:00:38 05-Aug-2024,Argos,B,43.5771,-69.2721,1112,1767,699,58,,,,,,
CCS-0518,243060,Mk10,03:13:11 05-Aug-2024,Argos,A,43.6043,-69.2542,153,699,33,91,,,,,,
CCS-0518,243060,Mk10,03:21:06 05-Aug-2024,Argos,B,43.5970,-69.2653,1431,9789,209,156,,,,,,
CCS-0518,243060,Mk10,04:34:14 05-Aug-2024,Argos,A,43.6481,-69.2628,435,3126,60,119,,,,,,
