"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"CS-0518",243060,17552,,,,,,,0,NN,,401650000,08/02/2024 16:11:58,1,1,0,-129,401650000,,,,,,,,,,,,117,136,194,4,247,164,223,204,54,37,14,8,58,10,41,211,9,111,172,142,180,71,186,46,25,36,140,,,,,
"CS-0518",243060,17552,44.26994,-79.88681,A,08/02/2024 16:18:36,Argos,0,631,NN,,401677627.38,08/02/2024 16:22:29,3,3,0,-127,401677627.38,-79.88681,44.26994,-69.8015,42.54828,0,0,0,0,0,8,3107,117,136,194,4,247,164,223,204,54,37,14,8,58,10,41,211,9,111,172,142,180,71,186,46,25,36,140,,,,,
"CS-0518",243060,17552,42.16666,-69.87246,A,08/02/2024 16:35:48,Argos,0,248,MC,,401677611.24,08/02/2024 16:35:49,1,3,0,-124,401677611.24,-69.87246,42.16666,-69.87246,42.16666,6,3,0,0,0,60,1840,126,189,162,5,7,39,16,231,111,170,56,255,186,111,43,12,201,130,136,208,153,253,20,,,,,,,,,
"CS-0518",243060,17552,42.16666,-69.87246,A,08/02/2024 16:35:48,Argos,0,248,MC,,401677611.24,08/02/2024 16:39:25,1,3,0,-124,401677611.24,-69.87246,42.16666,-69.87246,42.16666,6,3,0,0,0,60,1840,185,110,242,4,253,65,60,10,195,208,20,144,29,135,32,40,80,67,10,129,24,225,88,102,65,160,14,194,1,0,0,
"CS-0518",243060,17552,42.16666,-69.87246,A,08/02/2024 16:35:48,Argos,0,248,MC,,401677611.24,08/02/2024 16:39:57,1,3,0,-124,401677611.24,-69.87246,42.16666,-69.87246,42.16666,6,3,0,0,0,60,1840,126,189,162,5,6,39,16,229,111,139,56,255,186,111,47,8,201,146,136,192,0,0,0,,,,,,,,,
"CS-0518",243060,17552,42.16927,-69.8669,B,08/02/2024 17:20:48,Argos,0,0,O3,,401677648.12,08/02/2024 17:20:48,1,1,0,-129,401677648.12,-69.8669,42.16927,-69.8669,42.16927,6,3,8410,13584,5207,71,3161,4,2,5,21,27,172,42,82,90,39,191,76,173,126,24,42,78,108,70,100,116,35,106,226,84,175,236,,,,,
"CS-0518",243060,17552,42.16919,-69.86667,B,08/02/2024 17:55:37,Argos,0,0,NN,,401677650.36,08/02/2024 17:55:38,1,1,0,-137,401677650.36,-69.86667,42.16919,-69.86667,42.16919,8,2,6982,9920,4913,81,3710,121,114,242,5,20,128,208,252,177,125,9,254,242,23,11,6,73,146,200,192,0,0,0,,,,,,,,,
"CS-0518",243060,17552,42.18612,-69.85638,B,08/02/2024 18:53:17,Argos,0,0,O3,,401677605.13,08/02/2024 18:53:18,1,1,0,-137,401677605.13,-69.85638,42.18612,,,8,3,7118,10165,4983,87,4631,103,191,163,37,6,39,48,231,110,139,56,255,186,111,47,8,201,146,136,192,0,0,0,,,,,,,,,
"CS-0518",243060,17552,42.1375,-70.03551,A,08/02/2024 19:47:19,Argos,0,92,CS,,401677624.63,08/02/2024 19:46:34,1,3,0,-126,401677624.63,-70.03551,42.1375,,,7,3,7723,39186,1522,112,2770,4,156,213,59,140,3,118,52,55,183,207,229,0,80,84,85,72,0,3,132,100,128,57,128,48,129,128,,,,,
"CS-0518",243060,17552,42.1375,-70.03551,A,08/02/2024 19:47:19,Argos,0,92,CS,,401677624.63,08/02/2024 19:47:19,1,3,0,-126,401677624.63,-70.03551,42.1375,,,7,3,7723,39186,1522,112,2770,209,237,18,5,24,1,108,201,224,78,26,163,163,27,61,128,226,143,40,233,23,116,15,56,1,71,240,240,200,226,120,
"CS-0518",243060,17552,42.1375,-70.03551,A,08/02/2024 19:47:19,Argos,0,92,CS,,401677624.63,08/02/2024 19:48:06,1,3,0,-126,401677624.63,-70.03551,42.1375,,,7,3,7723,39186,1522,112,2770,176,27,66,5,9,0,209,14,193,112,79,208,134,23,128,88,4,176,76,129,130,21,136,32,22,224,236,52,0,0,0,
