DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
CS-0518,243060,,Transmission,Mk10,5,15:53:00 02-Aug-2024,16:35:32 02-Aug-2024,Message,10,,,,2542.000000,2562.000000,,
CS-0518,243060,,Transmission,Mk10,5,15:53:00 02-Aug-2024,15:58:18 02-Aug-2024,Dive,1,Square,65.0,66.5,317,319,,
CS-0518,243060,,Transmission,Mk10,5,15:58:18 02-Aug-2024,16:00:22 02-Aug-2024,Surface,,,,,123,125,124,0
CS-0518,243060,,Transmission,Mk10,5,16:00:22 02-Aug-2024,16:10:08 02-Aug-2024,Dive,1,Square,69.0,70.5,585,587,,
CS-0518,243060,,Transmission,Mk10,5,16:10:08 02-Aug-2024,16:12:04 02-Aug-2024,Surface,,,,,115,117,116,0
CS-0518,243060,,Transmission,Mk10,5,16:12:04 02-Aug-2024,16:20:58 02-Aug-2024,Dive,1,Square,71.0,72.5,533,535,,
CS-0518,243060,,Transmission,Mk10,5,16:20:58 02-Aug-2024,16:22:24 02-Aug-2024,Surface,,,,,85,87,83,3
CS-0518,243060,,Transmission,Mk10,5,16:22:24 02-Aug-2024,16:25:44 02-Aug-2024,Dive,1,U,65.0,66.5,199,201,,
CS-0518,243060,,Transmission,Mk10,5,16:25:44 02-Aug-2024,16:27:28 02-Aug-2024,Surface,,,,,103,105,77,27
CS-0518,243060,,Transmission,Mk10,5,16:27:28 02-Aug-2024,16:34:26 02-Aug-2024,Dive,1,Square,69.0,70.5,417,419,,
CS-0518,243060,,Transmission,Mk10,5,16:34:26 02-Aug-2024,16:35:32 02-Aug-2024,Surface,,,,,65,67,57,9
CS-0518,243060,,Transmission,Mk10,3,16:36:00 02-Aug-2024,17:10:16 02-Aug-2024,Message,10,,,,2046.000000,2066.000000,,
CS-0518,243060,,Transmission,Mk10,3,16:36:00 02-Aug-2024,16:39:30 02-Aug-2024,Dive,1,U,69.0,70.5,209,211,,
CS-0518,243060,,Transmission,Mk10,3,16:39:30 02-Aug-2024,16:40:18 02-Aug-2024,Surface,,,,,47,49,46,2
CS-0518,243060,,Transmission,Mk10,3,16:40:18 02-Aug-2024,16:48:46 02-Aug-2024,Dive,1,Square,71.0,72.5,507,509,,
CS-0518,243060,,Transmission,Mk10,3,16:48:46 02-Aug-2024,16:50:22 02-Aug-2024,Surface,,,,,95,97,96,0
CS-0518,243060,,Transmission,Mk10,3,16:50:22 02-Aug-2024,16:56:16 02-Aug-2024,Dive,1,Square,73.0,74.5,353,355,,
CS-0518,243060,,Transmission,Mk10,3,16:56:16 02-Aug-2024,16:56:56 02-Aug-2024,Surface,,,,,39,41,30,10
CS-0518,243060,,Transmission,Mk10,3,16:56:56 02-Aug-2024,17:00:10 02-Aug-2024,Dive,1,U,65.0,66.5,193,195,,
CS-0518,243060,,Transmission,Mk10,3,17:00:10 02-Aug-2024,17:02:22 02-Aug-2024,Surface,,,,,131,133,132,0
CS-0518,243060,,Transmission,Mk10,3,17:02:22 02-Aug-2024,17:08:30 02-Aug-2024,Dive,1,Square,69.0,70.5,367,369,,
CS-0518,243060,,Transmission,Mk10,3,17:08:30 02-Aug-2024,17:10:16 02-Aug-2024,Surface,,,,,105,107,106,0
CS-0518,243060,,Transmission,Mk10,2,17:10:00 02-Aug-2024,17:55:44 02-Aug-2024,Message,10,,,,2734.000000,2754.000000,,
CS-0518,243060,,Transmission,Mk10,2,17:10:00 02-Aug-2024,17:17:54 02-Aug-2024,Dive,1,Square,67.0,68.5,473,475,,
CS-0518,243060,,Transmission,Mk10,2,17:17:54 02-Aug-2024,17:20:50 02-Aug-2024,Surface,,,,,175,177,176,0
CS-0518,243060,,Transmission,Mk10,2,17:20:50 02-Aug-2024,17:26:44 02-Aug-2024,Dive,1,Square,51.5,52.0,353,355,,
CS-0518,243060,,Transmission,Mk10,2,17:26:44 02-Aug-2024,17:28:38 02-Aug-2024,Surface,,,,,113,115,114,0
CS-0518,243060,,Transmission,Mk10,2,17:28:38 02-Aug-2024,17:36:08 02-Aug-2024,Dive,1,Square,71.0,72.5,449,451,,
CS-0518,243060,,Transmission,Mk10,2,17:36:08 02-Aug-2024,17:38:48 02-Aug-2024,Surface,,,,,159,161,160,0
CS-0518,243060,,Transmission,Mk10,2,17:38:48 02-Aug-2024,17:46:04 02-Aug-2024,Dive,1,Square,75.0,76.5,435,437,,
CS-0518,243060,,Transmission,Mk10,2,17:46:04 02-Aug-2024,17:47:58 02-Aug-2024,Surface,,,,,113,115,114,0
CS-0518,243060,,Transmission,Mk10,2,17:47:58 02-Aug-2024,17:53:08 02-Aug-2024,Dive,1,Square,75.0,76.5,309,311,,
