Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,50CI,95CI,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
CCS-0518,02-Aug-2024,15:58:19,5,22.000000,73,35,0,7,42.18928,-69.94596,15:58:41 02-Aug-2024,Interpolated,42.19503,-69.93720,,1,,,11.3,-0.2,,,,15,30,12504,,,,18,17282,,,,1,26664,,,,20,29890,,,,11,16050,,,,7,11537,,,,29,26808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0518,02-Aug-2024,16:34:28,1,22.000000,74,35,0,4,42.19085,-69.92889,16:34:50 02-Aug-2024,Interpolated,42.18686,-69.92432,,,,,18.4,-1.5,,,,15,7,5566,,,,5,20031,,,,29,27068,,,,23,16946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0518,02-Aug-2024,17:08:03,2,22.000000,75,35,0,4,42.18697,-69.92117,17:08:25 02-Aug-2024,Interpolated,42.17616,-69.90761,,,,,4.0,-1.5,,,,15,7,29381,,,,30,17023,,,,23,18524,,,,5,16786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0518,02-Aug-2024,17:38:23,2,22.000000,76,35,0,4,42.18346,-69.91420,17:38:45 02-Aug-2024,Interpolated,42.19018,-69.91363,,,,,29.3,-1.0,,,,15,13,31341,,,,5,10722,,,,23,17246,,,,29,2042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0518,02-Aug-2024,18:12:45,1,22.000000,77,35,0,5,42.17433,-69.86355,18:13:07 02-Aug-2024,Interpolated,42.17949,-69.90631,,,,,29.8,-0.1,,,,15,24,3399,,,,5,20025,,,,30,18007,,,,20,27647,,,,13,15070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0518,02-Aug-2024,19:04:34,1,22.000000,78,36,0,6,42.20016,-69.90715,19:04:56 02-Aug-2024,Interpolated,42.18621,-69.88015,,,,,10.4,-1.0,,,,15,15,22760,,,,23,18175,,,,13,21354,,,,10,22989,,,,27,19686,,,,18,11344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0518,02-Aug-2024,21:48:47,1,22.000000,79,44,0,5,42.24947,-69.76122,21:49:09 02-Aug-2024,Interpolated,42.28942,-69.72759,,,,,8.3,-0.3,,,,15,21,10867,,,,28,21318,,,,2,14796,,,,32,32549,,,,24,13166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0518,02-Aug-2024,22:23:46,1,22.000000,80,44,0,5,42.26293,-69.73585,22:24:08 02-Aug-2024,Interpolated,42.31950,-69.71001,,,,,2.7,-0.8,,,,15,28,25227,,,,21,31385,,,,2,16989,,,,32,1474,,,,31,4941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0518,02-Aug-2024,22:56:41,1,22.000000,81,44,0,5,42.27559,-69.71197,22:57:03 02-Aug-2024,Interpolated,42.32131,-69.69898,,,,,4.6,-0.8,,,,15,10,7670,,,,23,19578,,,,12,11885,,,,25,31675,,,,32,20684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0518,02-Aug-2024,23:28:36,1,22.000000,82,44,0,7,42.28996,-69.77820,23:28:58 02-Aug-2024,Interpolated,42.33962,-69.68086,,,,,3.6,-0.3,,,,15,2,31854,,,,21,8240,,,,3,10343,,,,28,28317,,,,32,4509,,,,31,13610,,,,25,14634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
