DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
CCS-2001,234804,,Transmission,Mk10,TAD,14:00:00 03-Jul-2022,185.000000,1,0,,,,9,100,28.5,10.3,10.5,19.0,28.4,3.3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2001,234804,,Transmission,Mk10,TAD,15:00:00 03-Jul-2022,185.000000,3,0,,,,9,100,25.0,5.7,11.7,28.2,29.3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2001,234804,,Transmission,Mk10,TAD,16:00:00 03-Jul-2022,185.000000,1,0,,,,9,100.000000,26.2,5.2,10.3,24.2,34.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2001,234804,,Transmission,Mk10,TAD,17:00:00 03-Jul-2022,185.000000,2,0,,,,9,100.000000,29.8,10.0,12.5,13.8,27.1,6.8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2001,234804,,Transmission,Mk10,TAD,19:00:00 03-Jul-2022,185.000000,1,0,,,,9,100,27.5,5.8,8.4,12.5,44.6,1.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2001,234804,,Transmission,Mk10,TAD,20:00:00 03-Jul-2022,185.000000,2,0,,,,9,100,29.0,7.2,8.6,19.2,34.7,1.3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2001,234804,,Transmission,Mk10,TAD,02:00:00 04-Jul-2022,185.000000,1,0,,,,9,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2001,234804,,Transmission,Mk10,TAD,04:00:00 04-Jul-2022,185.000000,1,0,,,,9,100,100,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2001,234804,,Transmission,Mk10,TAD,09:00:00 04-Jul-2022,185.000000,1,0,,,,9,100,77.1,11.3,9.5,2.1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2001,234804,,Transmission,Mk10,TAD,10:00:00 04-Jul-2022,185.000000,1,0,,,,9,100,62.5,25.3,8.8,3.5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
