DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
CCS-2001,234804,Mk10,Strong,07-Jul-2022,11:47:11,07-Jul-2022,11:50:16
CCS-2001,234804,Mk10,Strong,10-Jul-2022,01:53:36,10-Jul-2022,01:56:41
