DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
CCS-2001,234804,,Mk10,,,15:53:33 03-Jul-2022,,0,42.1143,-70.1598,CRC,0,0,,947,3.376,0.984,0.208,18.30,0.0,0.0,0,,,,,,,,,,,187,22,22,80,,,,,,,,117,24,0,,,,,,,,,,
CCS-2001,234804,,Mk10,,,15:03:03 05-Jul-2022,,B,42.0392,-67.6415,CRC,0,0,,1907,3.312,0.976,0.312,18.30,1.0,42.0,0,,,,,,,,,,,159,17,255,80,,,,,,,,266,156,0,,,,,,,,,,
CCS-2001,234804,,Mk10,,11:47:11 07-Jul-2022,11:50:16 07-Jul-2022,185,0,42.1888,-67.2562,CRC,0,0,,,,0.976,0.192,,0.5,72.0,0,,,,,,,,,,,90,17,255,80,,,,,,,,415,293,0,,,,,,,,,,
CCS-2001,234804,,Mk10,,,13:29:40 08-Jul-2022,,B,42.1368,-66.9771,CRC,0,0,,3187,3.440,0.976,0.200,16.30,1.0,72.0,0,,,,,,,,,,,246,17,255,80,,,,,,,,490,353,0,,,,,,,,,,
CCS-2001,234804,,Mk10,,01:53:36 10-Jul-2022,01:56:41 10-Jul-2022,185,A,42.1734,-67.4031,CRC,0,0,,,,0.976,0.160,,1.0,68.0,0,,,,,,,,,,,228,17,255,80,,,,,,,,607,456,0,,,,,,,,,,
