DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
CCS-0914,234803,Mk10,Strong,03-Jul-2022,14:10:36,03-Jul-2022,14:13:41
CCS-0914,234803,Mk10,Strong,24-Jul-2022,16:41:13,24-Jul-2022,16:44:20
