DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
243062,243062,Mk10,14:38:01 11-Aug-2023,,,0,42.1396,-70.2864,CRC 7133.38172,15:00:00 10-Dec-2022,TwentyMinTimeline,81,189,219,20,248,3,100,60,60,60,60,60,56,191,183,147,191,187,102,63,231,247,11,255,255,191,250,255,231,90,136,
243062,243062,Mk10,14:46:27 11-Aug-2023,,,0,42.1396,-70.2864,CRC 26242.15008,04:00:00 11-Aug-2023,DiveDuration,70,104,46,22,77,193,253,145,15,250,10,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,15:14:44 11-Aug-2023,,,B,42.1478,-70.2953,CRC 51253.16728,07:11:39 11-Aug-2023,Fast-GPS,124,131,94,22,116,185,209,213,4,206,5,22,176,119,53,10,129,56,11,132,0,0,0,,,,,,,,,
243062,243062,Mk10,15:28:43 11-Aug-2023,,,1,42.1152,-70.1304,CRC 3727.22454,,DiveDuration,64,232,254,119,178,0,163,189,251,255,231,239,255,255,255,,,,,,,,,,,,,,,,,
243062,243062,Mk10,15:29:59 11-Aug-2023,,,1,42.1152,-70.1304,CRC 27061.32181,19:00:00 10-Aug-2023,TAD,22,155,94,21,50,124,145,153,66,2,0,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,15:35:35 11-Aug-2023,,,1,42.1152,-70.1304,CRC 47890.59561,22:09:09 13-Jun-2023,Fast-GPS,123,177,45,155,108,146,78,83,73,73,164,181,27,91,22,77,181,161,169,45,63,209,43,5,18,220,49,,,,,
243062,243062,Mk10,15:45:25 11-Aug-2023,,,A,42.0923,-70.2286,CRC 6015.29375,15:00:00 14-Aug-2023,DiveDepth,49,119,254,28,240,53,145,10,0,0,0,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,16:52:19 11-Aug-2023,,,0,42.1241,-70.2005,CRC 22368.9151,19:00:00 10-Aug-2023,TimeSeries,213,118,14,21,61,22,217,253,207,0,2,63,236,207,204,216,189,207,169,168,98,142,154,65,247,181,196,3,5,234,13,
243062,243062,Mk10,16:54:41 11-Aug-2023,,,0,42.1241,-70.2005,CRC 23208.40681,19:00:00 10-Aug-2023,TAD,21,170,142,21,49,120,24,194,128,0,0,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,16:55:24 11-Aug-2023,,,0,42.1241,-70.2005,CRC 15854.46318,19:00:00 10-Aug-2023,TimeSeries,211,222,238,21,56,3,192,101,199,187,119,5,157,73,217,73,81,25,148,93,81,153,21,36,234,65,74,240,234,230,128,
243062,243062,Mk10,21:16:06 11-Aug-2023,,,A,42.1338,-70.2426,CRC 3728.22907,11:00:00 11-Aug-2023,DiveDepth,48,233,14,22,184,175,9,,,,,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,22:41:01 11-Aug-2023,,,B,42.1227,-70.2965,CRC 60562.5457,16:29:00 11-Aug-2023,Behavior,190,201,46,23,7,65,12,49,3,63,206,216,166,129,162,125,96,69,46,103,141,35,38,136,152,109,64,229,168,126,91,
243062,243062,Mk10,00:01:48 12-Aug-2023,,,3,42.1197,-70.2911,CRC 39604.23349,23:09:00 10-Aug-2023,Behavior,185,171,78,21,114,65,62,24,11,84,199,32,224,186,169,14,1,128,144,76,103,12,2,225,163,104,112,13,137,0,2,
243062,243062,Mk10,00:08:48 12-Aug-2023,,,3,42.1197,-70.2911,CRC 9005.2000,03:33:26 17-Oct-2022,Fast-GPS,114,50,218,162,54,22,148,235,206,170,42,157,166,114,187,203,65,148,197,128,0,0,0,,,,,,,,,
243062,243062,Mk10,00:03:34 12-Aug-2023,,,B,42.1204,-70.3079,CRC 17761.45628,23:00:00 10-Aug-2023,TimeSeries,212,86,30,21,125,148,208,3,51,19,51,102,102,102,105,153,153,187,187,187,174,238,254,230,238,238,238,238,254,238,238,
243062,243062,Mk10,00:15:51 12-Aug-2023,,,2,42.1258,-70.3006,CRC 51538.10888,22:17:00 14-Aug-2023,Behavior,188,149,46,29,100,64,226,20,2,145,135,96,192,64,162,59,6,1,241,17,153,48,52,201,139,233,129,134,87,0,0,
243062,243062,Mk10,00:22:03 12-Aug-2023,,,2,42.1258,-70.3006,CRC 40231.28475,22:00:00 10-Aug-2023,TimeSeries,217,210,126,21,109,146,207,255,238,238,238,187,185,170,1,187,146,210,75,159,192,55,179,102,206,177,42,44,232,134,50,
243062,243062,Mk10,00:28:08 12-Aug-2023,,,B,42.1257,-70.3003,CRC 64904.25713,21:00:00 10-Aug-2023,TAD,31,216,142,21,81,119,152,192,213,159,242,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,01:12:17 12-Aug-2023,,,B,42.1334,-70.3107,CRC 22368.26205,19:00:00 10-Aug-2023,TimeSeries,213,118,14,21,61,22,217,253,207,0,2,63,236,207,204,159,253,130,54,241,248,23,3,124,205,223,44,114,230,17,24,
243062,243062,Mk10,03:56:59 12-Aug-2023,,,B,42.1181,-70.2874,CRC 8466.10019,20:00:00 11-Aug-2023,DiveDuration,66,17,46,23,67,13,151,37,88,65,5,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,12:22:19 12-Aug-2023,,,0,42.0826,-70.0717,CRC 60601.55917,00:00:00 27-Dec-2023,TAD,30,203,159,54,5,75,195,73,0,79,73,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,12:43:51 12-Aug-2023,,,A,42.1503,-70.0994,CRC 3727.16011,19:00:00 10-Aug-2023,DiveDuration,64,232,254,21,48,57,131,66,4,0,16,32,0,0,0,,,,,,,,,,,,,,,,,
