DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
243062,243062,,Mk10,15:00:00 10-Aug-2023,,,,0.8,18.9,TimeSeries
243062,243062,,Mk10,16:00:00 10-Aug-2023,,,,0.4,19.1,TimeSeries
243062,243062,,Mk10,17:00:00 10-Aug-2023,,,,0.4,19.1,TimeSeries
243062,243062,,Mk10,12:00:00 12-Aug-2023,,,,0.0,18.9,Status
243062,243062,,Mk10,17:00:00 13-Aug-2023,,,,0.0,20.9,Status
243062,243062,,Mk10,22:00:00 13-Aug-2023,,,,0.8,20.4,TimeSeries
243062,243062,,Mk10,23:00:00 13-Aug-2023,,,,0.4,20.1,TimeSeries
243062,243062,,Mk10,15:00:00 14-Aug-2023,,,,0.0,19.9,Status
243062,243062,,Mk10,23:00:00 14-Aug-2023,,,,0.0,20.3,Status
243062,243062,,Mk10,00:00:00 16-Aug-2023,,,,0.6,18.6,TimeSeries
243062,243062,,Mk10,01:00:00 16-Aug-2023,,,,0.6,19.3,TimeSeries
243062,243062,,Mk10,02:00:00 16-Aug-2023,,,,0.4,20.6,TimeSeries
243062,243062,,Mk10,10:00:00 16-Aug-2023,,,,1.8,19.4,TimeSeries
243062,243062,,Mk10,11:00:00 16-Aug-2023,,,,1.8,19.4,TimeSeries
243062,243062,,Mk10,15:00:00 16-Aug-2023,,,,0.0,19.3,Status
243062,243062,,Mk10,13:00:00 17-Aug-2023,,,,0.0,19.1,Status
243062,243062,,Mk10,11:00:00 19-Aug-2023,,,,0.0,19.5,Status
243062,243062,,Mk10,18:00:00 19-Aug-2023,,,,1.3,20.1,TimeSeries
243062,243062,,Mk10,19:00:00 19-Aug-2023,,,,0.8,20.1,TimeSeries
243062,243062,,Mk10,21:00:00 19-Aug-2023,,,,0.8,19.9,TimeSeries
243062,243062,,Mk10,22:00:00 19-Aug-2023,,,,0.8,19.9,TimeSeries
243062,243062,,Mk10,22:00:00 21-Aug-2023,,,,0.0,21.0,Status
243062,243062,,Mk10,03:00:00 22-Aug-2023,,,,0.0,20.6,Status
243062,243062,,Mk10,10:00:00 22-Aug-2023,,,,0.4,19.5,TimeSeries
243062,243062,,Mk10,11:00:00 22-Aug-2023,,,,0.8,19.5,TimeSeries
243062,243062,,Mk10,21:00:00 22-Aug-2023,,,,0.6,20.1,TimeSeries
243062,243062,,Mk10,22:00:00 22-Aug-2023,,,,0.0,20.1,Status
243062,243062,,Mk10,23:00:00 22-Aug-2023,,,,0.4,19.9,TimeSeries
243062,243062,,Mk10,01:00:00 24-Aug-2023,,,,0.0,20.2,Status
243062,243062,,Mk10,10:00:00 24-Aug-2023,,,,0.0,19.8,Status
