DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
243053,243053,,Mk10,,,16:50:05 22-Jul-2024,,,,,CRC,0,0,,845,3.376,0.992,0.272,19.90,1.0,0.0,0,,,,,,,,,,,82,22,22,80,,,,,,,,108,34,0,,,,,,,,,,
243053,243053,,Mk10,,16:54:18 22-Jul-2024,16:54:00 22-Jul-2024,-17,,,,CRC,0,0,,,,0.992,0.220,,1.0,0.0,0,,,,,,,,,,,92,22,22,80,,,,,,,,109,35,0,,,,,,,,,,
243053,243053,,Mk10,,,04:21:24 23-Jul-2024,,A,42.6107,-70.3667,CRC,0,0,,1115,3.440,0.992,0.228,19.50,0.5,42.0,0,,,,,,,,,,,242,17,255,80,,,,,,,,146,68,0,,,,,,,,,,
243053,243053,,Mk10,,14:52:32 24-Jul-2024,14:52:15 24-Jul-2024,-16,B,43.6129,-69.5063,CRC,0,0,,,,0.992,0.144,,0.5,62.0,0,,,,,,,,,,,151,17,255,80,,,,,,,,248,158,0,,,,,,,,,,
243053,243053,,Mk10,,17:31:07 24-Jul-2024,17:30:49 24-Jul-2024,-17,A,43.3859,-69.1471,CRC,0,0,,,,0.992,0.232,,0.5,62.0,0,,,,,,,,,,,179,17,255,80,,,,,,,,256,166,0,,,,,,,,,,
243053,243053,,Mk10,,,23:52:39 26-Jul-2024,,0,42.1075,-67.7710,CRC,0,0,,2523,3.376,0.992,0.276,17.20,0.5,72.0,0,,,,,,,,,,,206,17,255,80,,,,,,,,428,329,0,,,,,,,,,,
243053,243053,,Mk10,,,13:41:26 27-Jul-2024,,B,42.1246,-67.3616,CRC,0,0,,2651,3.440,0.992,0.228,19.30,0.5,68.0,0,,,,,,,,,,,88,17,255,80,,,,,,,,466,361,0,,,,,,,,,,
243053,243053,,Mk10,,14:51:54 27-Jul-2024,14:51:36 27-Jul-2024,-17,B,42.1463,-67.3869,CRC,0,0,,,,0.984,0.272,,0.5,68.0,0,,,,,,,,,,,215,17,255,80,,,,,,,,470,365,0,,,,,,,,,,
243053,243053,,Mk10,,,11:55:32 28-Jul-2024,,B,42.2527,-66.6028,CRC,0,0,,2971,3.376,0.992,0.232,15.70,1.0,88.0,0,,,,,,,,,,,200,16,255,80,,,,,,,,528,414,0,,,,,,,,,,
243053,243053,,Mk10,,02:06:32 29-Jul-2024,02:06:14 29-Jul-2024,-17,B,42.2384,-66.4791,CRC,0,0,,,,0.992,0.276,,0.5,110.0,0,,,,,,,,,,,118,17,255,80,,,,,,,,569,450,0,,,,,,,,,,
243053,243053,,Mk10,,01:11:29 30-Jul-2024,01:11:12 30-Jul-2024,-16,B,42.7576,-65.6266,CRC,0,0,,,,0.984,0.388,,0.5,126.0,0,,,,,,,,,,,241,16,255,80,,,,,,,,642,516,0,,,,,,,,,,
