DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
243053,243053,,Mk10,17:00:00 22-Jul-2024,,,,0.0,19.9,Status
243053,243053,,Mk10,18:00:00 22-Jul-2024,,,,1.3,18.7,TimeSeries
243053,243053,,Mk10,19:00:00 22-Jul-2024,,,,1.3,19.5,TimeSeries
243053,243053,,Mk10,04:00:00 23-Jul-2024,,,,0.0,19.5,Status
243053,243053,,Mk10,02:00:00 25-Jul-2024,,,,1.0,19.9,TimeSeries
243053,243053,,Mk10,03:00:00 25-Jul-2024,,,,1.0,19.9,TimeSeries
243053,243053,,Mk10,07:00:00 25-Jul-2024,,,,1.0,20.1,TimeSeries
243053,243053,,Mk10,08:00:00 25-Jul-2024,,,,1.0,20.1,TimeSeries
243053,243053,,Mk10,00:00:00 27-Jul-2024,,,,0.0,17.2,Status
243053,243053,,Mk10,14:00:00 27-Jul-2024,,,,0.0,19.3,Status
243053,243053,,Mk10,06:00:00 28-Jul-2024,,,,1.3,18.2,TimeSeries
243053,243053,,Mk10,07:00:00 28-Jul-2024,,,,1.3,18.2,TimeSeries
243053,243053,,Mk10,12:00:00 28-Jul-2024,,,,0.0,15.7,Status
243053,243053,,Mk10,15:00:00 28-Jul-2024,,,,1.3,17.2,TimeSeries
243053,243053,,Mk10,16:00:00 28-Jul-2024,,,,1.3,17.2,TimeSeries
243053,243053,,Mk10,17:00:00 28-Jul-2024,,,,1.3,17.5,TimeSeries
243053,243053,,Mk10,18:00:00 28-Jul-2024,,,,1.3,17.5,TimeSeries
243053,243053,,Mk10,11:00:00 30-Jul-2024,,,,0.0,14.2,Status
243053,243053,,Mk10,08:00:00 31-Jul-2024,,,,1.0,19.5,TimeSeries
243053,243053,,Mk10,09:00:00 31-Jul-2024,,,,1.0,19.5,TimeSeries
243053,243053,,Mk10,10:00:00 31-Jul-2024,,,,1.3,19.3,TimeSeries
243053,243053,,Mk10,16:00:00 02-Aug-2024,,,,0.0,26.7,Status
243053,243053,,Mk10,05:00:00 03-Aug-2024,,,,0.8,25.9,TimeSeries
243053,243053,,Mk10,06:00:00 03-Aug-2024,,,,0.8,26.1,TimeSeries
243053,243053,,Mk10,10:00:00 04-Aug-2024,,,,0.0,26.4,Status
243053,243053,,Mk10,00:00:00 06-Aug-2024,,,,0.0,23.2,Status
243053,243053,,Mk10,09:00:00 06-Aug-2024,,,,0.9,24.5,TimeSeries
243053,243053,,Mk10,10:00:00 06-Aug-2024,,,,0.9,24.5,TimeSeries
243053,243053,,Mk10,15:00:00 06-Aug-2024,,,,0.0,25.0,Status
243053,243053,,Mk10,17:00:00 06-Aug-2024,,,,0.0,25.0,Status
