Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
17552,243065,27,O3, ,1,25-Jul-2023,16:35:48,,,,401650000,-119,,0,25-Jul-2023,16:35:48,,,27,,,,,,,4,4,211,8,240,3,51,48,0,0,0,5,0,80,76,77,64,0,3,180,207,128,56,12,229,23,102,,,,,
17552,243065,27,O3, ,1,25-Jul-2023,16:35:48,,,,401650000,-119,,0,25-Jul-2023,16:36:15,,,27,,,,,,,4,5,243,9,15,195,85,51,199,214,0,5,0,80,76,77,60,0,2,128,56,0,21,226,192,0,0,,,,,
17552,243065,11,A1, ,2,25-Jul-2023,23:18:57,,,,401650000,-125,,0,25-Jul-2023,23:18:57,,,,,,,,,,22,125,221,243,21,58,251,111,132,129,128,,,,,,,,,,,,,,,,,,,,,
17552,243065,11,SR, ,3,25-Jul-2023,23:18:57,,,,401650000,-125,,0,25-Jul-2023,23:18:57,,,,,,,,,,22,125,221,243,21,58,251,111,132,129,128,,,,,,,,,,,,,,,,,,,,,
17552,243065,31,NP, ,4,26-Jul-2023,00:07:44,,,,401650000,-138,,0,26-Jul-2023,00:07:44,,,,,,,,,,219,153,205,243,8,0,72,60,60,44,60,60,60,60,60,60,60,60,60,60,42,7,50,238,132,115,50,232,115,102,168,
17552,243065,11,NN, ,5,26-Jul-2023,03:54:57,,,,401650000,-137,,0,26-Jul-2023,03:54:57,,,,,,,,,,74,163,93,243,11,34,127,164,7,255,224,,,,,,,,,,,,,,,,,,,,,
17552,243065,31,SR, ,6,26-Jul-2023,08:52:59,,,,401650000,-134,,0,26-Jul-2023,08:52:59,,,,,,,,,,216,245,173,243,76,200,235,31,254,239,240,0,1,47,238,254,238,254,238,237,237,253,221,16,0,0,31,224,0,0,0,
17552,243065,11,CS, ,7,26-Jul-2023,09:28:54,,,,401650000,-140,,0,26-Jul-2023,09:28:54,,,,,,,,,,22,120,189,244,5,121,164,3,2,1,0,,,,,,,,,,,,,,,,,,,,,
17552,243065,7,A1, ,8,26-Jul-2023,09:56:58,,,,401650000,-113,,0,26-Jul-2023,09:56:58,,,27,,,,,,,74,26,61,243,80,143,142,,,,,,,,,,,,,,,,,,,,,,,,,
17552,243065,23,A1, ,8,26-Jul-2023,09:56:58,,,,401650000,-113,,0,26-Jul-2023,09:57:25,,,27,,,,,,,125,4,125,243,7,64,149,114,79,155,202,16,206,53,233,3,225,62,120,25,24,172,0,,,,,,,,,
17552,243065,23,SR,0,9,26-Jul-2023,10:33:16,39.3717,-84.7198,Speed to avg loc 116 x median,401650000,-131,50,0,26-Jul-2023,10:28:09,39.3717,-84.7198,472,3968,8375,1879,134,,,119,24,44,228,204,204,230,102,108,140,205,59,54,121,156,154,228,178,146,48,209,239,219,,,,,,,,,
