DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
243065,243065,Mk10,DS,2,0,1,27,27,16:35:48 25-Jul-2023,O3,,,,,,,,401650000,-119
243065,243065,Mk10,DS,1,0,0,,,23:18:57 25-Jul-2023,A1,,,,,,,,401650000,-125
243065,243065,Mk10,DS,1,0,0,,,23:18:57 25-Jul-2023,SR,,,,,,,,401650000,-125
243065,243065,Mk10,DS,1,0,1,,,00:07:44 26-Jul-2023,NP,,,,,,,,401650000,-138
243065,243065,Mk10,DS,1,0,1,,,03:54:57 26-Jul-2023,NN,,,,,,,,401650000,-137
243065,243065,Mk10,DS,1,0,0,,,08:52:59 26-Jul-2023,SR,,,,,,,,401650000,-134
243065,243065,Mk10,DS,1,0,0,,,09:28:54 26-Jul-2023,CS,,,,,,,,401650000,-140
243065,243065,Mk10,DS,2,0,1,27,27,09:56:58 26-Jul-2023,A1,,,,,,,,401650000,-113
243065,243065,Mk10,DS,4,0,2,157,21,10:33:16 26-Jul-2023,SR,0,39.3717,-84.7198,39.3717,-84.7198,50,,401650000,-131
243065,243065,Mk10,DS,3,0,0,122,20,11:01:45 26-Jul-2023,CS,A,42.1315,-70.1970,44.7318,-83.9481,56,,401677649,-122
243065,243065,Mk10,DS,2,0,1,175,175,11:11:32 26-Jul-2023,NK,B,42.0877,-70.1168,33.9383,-28.8777,8,,401677649,-129
243065,243065,Mk10,DS,1,0,1,,,11:28:32 26-Jul-2023,A1,B,42.0901,-70.1190,42.0901,-70.1190,6,,401677685,-137
243065,243065,Mk10,DS,1,0,1,,,12:11:42 26-Jul-2023,SR,B,42.0878,-70.1197,42.0878,-70.1197,8,,401677670,-138
243065,243065,Mk10,DS,3,0,2,129,126,12:19:36 26-Jul-2023,NP,A,42.1451,-70.1542,42.1451,-70.1542,6,,401677646,-132
243065,243065,Mk10,DS,2,0,0,218,218,12:40:39 26-Jul-2023,CS,B,42.0907,-70.1249,42.0907,-70.1249,8,,401677646,-134
243065,243065,Mk10,DS,3,0,1,141,38,12:52:01 26-Jul-2023,NK,A,42.1650,-70.0538,42.1650,-70.0538,6,,401677679,-120
243065,243065,Mk10,DS,3,0,0,57,44,13:31:44 26-Jul-2023,MC,A,42.0595,-70.0730,42.0595,-70.0730,8,,401677627,-123
243065,243065,Mk10,DS,5,0,0,156,38,13:56:19 26-Jul-2023,NP,0,42.1186,-70.2540,42.1186,-70.2540,46,,401677657,-120
243065,243065,Mk10,DS,3,0,1,23,14,14:21:46 26-Jul-2023,MB,,,,,,,,401650000,
243065,243065,Mk10,DS,2,0,1,429,429,14:35:02 26-Jul-2023,NK,B,42.1575,-70.0385,42.1575,-70.0385,8,,401677679,-131
243065,243065,Mk10,DS,3,0,1,139,38,14:37:55 26-Jul-2023,NN,A,42.0850,-70.2588,42.0850,-70.2588,8,,401677635,-129
243065,243065,Mk10,DS,7,0,1,105,41,15:16:02 26-Jul-2023,MC,1,42.1016,-70.2491,42.1016,-70.2491,47,,401677647,-112
243065,243065,Mk10,DS,1,0,0,,,15:46:00 26-Jul-2023,NP,B,42.1017,-70.2491,42.1017,-70.2491,6,,401677647,-136
243065,243065,Mk10,DS,3,0,1,73,24,16:53:57 26-Jul-2023,MC,A,42.0463,-70.0488,42.0463,-70.0488,7,,401677663,-125
243065,243065,Mk10,DS,1,0,1,,,22:16:26 26-Jul-2023,CS,B,42.0884,-69.7771,42.0884,-69.7771,8,,401677716,-122
243065,243065,Mk10,DS,2,0,1,142,142,23:49:04 26-Jul-2023,NP,B,41.9617,-70.1888,41.9617,-70.1888,6,,401677804,-129
243065,243065,Mk10,DS,1,0,0,,,00:14:40 27-Jul-2023,NK,B,41.9654,-70.1889,41.9654,-70.1889,6,,401677816,-128
243065,243065,Mk10,DS,1,0,0,,,02:02:48 27-Jul-2023,NN,B,41.9076,-70.1935,41.9076,-70.1935,8,,401677726,-119
243065,243065,Mk10,DS,2,0,1,90,90,08:22:46 27-Jul-2023,SR,B,41.8016,-70.3159,41.8016,-70.3159,8,,401677748,-131
243065,243065,Mk10,DS,5,0,2,23,15,09:38:07 27-Jul-2023,A1,0,42.0981,-70.1950,42.0981,-70.1950,48,,401677717,-119
243065,243065,Mk10,DS,4,0,1,165,76,09:57:21 27-Jul-2023,SR,0,42.0945,-70.1443,42.0945,-70.1443,46,,401677661,-125
243065,243065,Mk10,DS,4,0,1,113,19,10:25:21 27-Jul-2023,CS,0,42.1359,-70.3436,42.1359,-70.3436,46,,401677633,-118
243065,243065,Mk10,DS,2,0,2,121,121,10:49:16 27-Jul-2023,NK,B,42.1647,-70.3957,42.1647,-70.3957,6,,401677677,-137
243065,243065,Mk10,DS,1,0,0,,,11:13:49 27-Jul-2023,A1,B,42.0892,-70.1487,42.0892,-70.1487,6,,401677659,-137
243065,243065,Mk10,DS,1,0,0,,,11:42:55 27-Jul-2023,SR,B,42.0945,-70.1476,42.0945,-70.1476,6,,401677620,-135
243065,243065,Mk10,DS,1,0,0,,,11:58:29 27-Jul-2023,CS,B,42.0505,-70.1586,42.0505,-70.1586,6,,401677680,-138
243065,243065,Mk10,DS,3,0,2,124,42,12:11:16 27-Jul-2023,NP,A,42.1927,-70.0449,42.1927,-70.0449,6,,401677698,-136
243065,243065,Mk10,DS,6,0,0,63,15,12:27:01 27-Jul-2023,NK,0,42.1117,-70.3562,42.1117,-70.3562,46,,401677650,-123
243065,243065,Mk10,DS,2,0,0,88,88,13:16:51 27-Jul-2023,MC,B,42.3119,-70.4725,42.3119,-70.4725,6,,401677717,-127
243065,243065,Mk10,DS,5,0,2,176,113,13:43:57 27-Jul-2023,NP,0,42.1762,-70.5524,42.1762,-70.5524,46,,401677658,-129
243065,243065,Mk10,DS,2,0,1,200,200,14:08:12 27-Jul-2023,NK,B,42.1661,-70.2220,42.1661,-70.2220,6,,401677679,-133
243065,243065,Mk10,DS,5,0,1,146,30,14:16:51 27-Jul-2023,NN,0,42.1479,-70.1652,42.1479,-70.1652,47,,401677669,-124
243065,243065,Mk10,DS,4,0,1,100,19,14:56:22 27-Jul-2023,MC,0,42.1001,-70.2514,42.1001,-70.2514,48,,401677649,-112
243065,243065,Mk10,DS,4,0,0,57,19,15:27:53 27-Jul-2023,NP,0,42.0600,-70.1823,42.0600,-70.1823,48,,401677648,-129
243065,243065,Mk10,DS,2,0,0,52,52,15:39:20 27-Jul-2023,MB,B,42.0539,-70.1541,42.0539,-70.1541,6,,401677655,-129
243065,243065,Mk10,DS,6,0,2,93,23,16:01:12 27-Jul-2023,NN,0,42.0776,-70.1046,42.0776,-70.1046,46,,401677670,-120
243065,243065,Mk10,DS,2,0,1,109,109,16:46:49 27-Jul-2023,O3,B,42.1667,-69.9601,42.1667,-69.9601,5,,401677732,-119
243065,243065,Mk10,DS,1,0,1,,,22:04:34 27-Jul-2023,NK,B,42.1389,-69.2431,42.1389,-69.2431,8,,401677679,-140
243065,243065,Mk10,DS,2,0,2,467,467,22:12:32 27-Jul-2023,SR,B,42.2959,-70.0021,42.2959,-70.0021,8,,401677742,-132
243065,243065,Mk10,DS,1,0,0,,,22:38:36 27-Jul-2023,A1,B,42.2229,-69.9775,42.2229,-69.9775,6,,401677769,-120
243065,243065,Mk10,DS,1,0,0,,,03:32:45 28-Jul-2023,NN,B,42.1308,-70.0720,42.1308,-70.0720,8,,401677687,-135
243065,243065,Mk10,DS,1,0,0,,,03:57:22 28-Jul-2023,O3,B,42.1332,-70.1630,42.1332,-70.1630,6,,401677703,-120
243065,243065,Mk10,DS,2,0,0,75,75,09:16:50 28-Jul-2023,A1,B,42.0821,-70.2716,42.0821,-70.2716,8,,401677664,-133
243065,243065,Mk10,DS,5,0,1,60,18,09:26:46 28-Jul-2023,SR,0,42.1549,-69.9918,42.1549,-69.9918,46,,401677665,-122
243065,243065,Mk10,DS,3,0,1,237,17,09:46:57 28-Jul-2023,CS,A,42.1490,-69.9917,42.1490,-69.9917,6,,401677656,-126
243065,243065,Mk10,DS,3,0,1,40,40,11:13:16 28-Jul-2023,SR,A,41.9788,-69.9684,41.9788,-69.9684,8,,401677646,-131
243065,243065,Mk10,DS,3,0,0,71,53,11:21:24 28-Jul-2023,CS,A,42.1377,-70.0652,42.1377,-70.0652,6,,401677703,-121
243065,243065,Mk10,DS,7,0,3,84,16,12:02:57 28-Jul-2023,NK,0,42.1242,-70.1559,42.1242,-70.1559,46,,401677676,-120
243065,243065,Mk10,DS,2,0,1,46,46,12:00:09 28-Jul-2023,NP,B,42.1760,-70.0926,42.1760,-70.0926,8,,401677687,-136
243065,243065,Mk10,DS,2,0,1,203,203,12:54:03 28-Jul-2023,MC,B,42.1227,-70.1764,42.1227,-70.1764,8,,401677665,-128
243065,243065,Mk10,DS,4,0,0,81,20,13:36:48 28-Jul-2023,NP,0,42.0700,-70.2346,42.0700,-70.2346,48,,401677628,-119
243065,243065,Mk10,DS,4,0,1,191,21,13:41:18 28-Jul-2023,NK,0,42.0599,-70.2972,42.0599,-70.2972,46,,401677646,-132
243065,243065,Mk10,DS,1,0,1,,,13:37:19 28-Jul-2023,MB,B,42.0698,-70.2342,42.0698,-70.2342,6,,401677676,-133
243065,243065,Mk10,DS,2,0,1,322,322,14:05:43 28-Jul-2023,NN,B,42.1207,-70.0996,42.1207,-70.0996,6,,401677658,-137
243065,243065,Mk10,DS,2,0,2,270,270,14:33:33 28-Jul-2023,MC,B,42.0115,-70.0695,42.0115,-70.0695,6,,401677632,-115
243065,243065,Mk10,DS,2,0,1,265,265,15:15:15 28-Jul-2023,NP,B,42.0798,-70.1848,42.0798,-70.1848,6,,401677666,-132
243065,243065,Mk10,DS,5,0,2,107,15,15:21:39 28-Jul-2023,MB,0,42.1132,-70.2032,42.1132,-70.2032,46,,401677667,-127
243065,243065,Mk10,DS,4,0,2,226,193,15:47:54 28-Jul-2023,NN,0,42.0627,-70.1112,42.0627,-70.1112,46,,401677654,-119
243065,243065,Mk10,DS,4,0,2,164,36,15:57:23 28-Jul-2023,O3,0,42.0842,-70.1709,42.0842,-70.1709,46,,401677654,-126
243065,243065,Mk10,DS,2,0,0,233,233,16:13:44 28-Jul-2023,MC,B,42.0778,-70.1585,42.0778,-70.1585,6,,401677652,-123
243065,243065,Mk10,DS,1,0,0,,,17:30:52 28-Jul-2023,NN,B,42.0853,-70.2035,42.0853,-70.2035,8,,401677647,-131
243065,243065,Mk10,DS,2,0,0,282,282,17:37:43 28-Jul-2023,O3,B,42.0859,-70.2456,42.0859,-70.2456,6,,401677662,-121
243065,243065,Mk10,DS,1,0,0,,,03:07:08 29-Jul-2023,O3,B,42.2008,-70.5482,42.2008,-70.5482,8,,401677691,-135
243065,243065,Mk10,DS,1,0,0,,,08:57:44 29-Jul-2023,A1,B,42.1288,-70.1630,42.1288,-70.1630,8,,401677689,-135
243065,243065,Mk10,DS,2,0,1,382,382,09:00:55 29-Jul-2023,CS,B,42.1143,-70.0588,42.1143,-70.0588,8,,401677698,-138
243065,243065,Mk10,DS,2,0,1,382,382,09:00:55 29-Jul-2023,SR,B,42.1425,-70.0633,42.1425,-70.0633,,,401677689,-125
243065,243065,Mk10,DS,2,0,2,289,289,10:33:46 29-Jul-2023,A1,B,42.1350,-70.0752,42.1350,-70.0752,8,,401677642,-125
243065,243065,Mk10,DS,3,0,1,25,25,10:36:10 29-Jul-2023,SR,A,42.2030,-69.9524,42.2030,-69.9524,6,,401677645,-121
243065,243065,Mk10,DS,4,0,2,156,25,10:42:06 29-Jul-2023,CS,0,42.2346,-70.3190,42.2346,-70.3190,46,,401677659,-123
243065,243065,Mk10,DS,4,0,2,106,15,11:36:25 29-Jul-2023,NK,0,42.0732,-70.1140,42.0732,-70.1140,48,,401677664,-132
243065,243065,Mk10,DS,1,0,0,,,12:16:18 29-Jul-2023,CS,B,42.2354,-70.3273,42.2354,-70.3273,8,,401677652,-138
243065,243065,Mk10,DS,3,0,1,32,17,12:33:19 29-Jul-2023,MC,A,42.2687,-70.5159,42.2687,-70.5159,6,,401677738,-130
243065,243065,Mk10,DS,4,0,2,162,18,13:20:48 29-Jul-2023,NK,0,41.8841,-70.3352,45.4360,-87.0308,56,,401677623,-126
