Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
CCS-2402,22-Jun-2024,14:43:36,5,-2.000000,76,27,0,4,,,,,,,,,,,,,,,15,6,13731,,,,11,14020,,,,19,20139,,,,12,31452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,22-Jun-2024,15:33:05,1,-2.000000,77,28,0,4,,,,,,,,,,,,,,,15,17,25310,,,,6,28412,,,,19,6546,,,,9,25437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,22-Jun-2024,19:36:09,2,-2.000000,80,37,0,5,,,,,,,,,,,,,,,15,29,4552,,,,5,31096,,,,15,13840,,,,7,17746,,,,20,30741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,23-Jun-2024,10:29:16,1,-2.000000,92,64,0,6,,,,,,,,,,,,,,,15,10,14606,,,,14,6112,,,,27,8967,,,,22,31164,,,,8,23026,,,,21,30864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,23-Jun-2024,11:19:07,1,-2.000000,93,65,0,4,,,,,,,,,,,,,,,15,3,9950,,,,21,22586,,,,2,30416,,,,8,11660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,23-Jun-2024,11:49:33,1,-2.000000,94,65,0,6,,,,,,,,,,,,,,,15,2,9399,,,,21,23608,,,,7,504,,,,3,11595,,,,14,28319,,,,30,31739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,23-Jun-2024,15:43:02,1,-2.000000,97,73,0,5,,,,,,,,,,,,,,,15,9,6567,,,,17,28183,,,,6,31202,,,,19,24694,,,,4,4740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,23-Jun-2024,18:38:20,1,-2.000000,101,76,0,5,,,,,,,,,,,,,,,15,20,18080,,,,30,1194,,,,13,29716,,,,5,7692,,,,6,29707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,23-Jun-2024,20:09:16,1,-2.000000,104,76,0,4,,,,,,,,,,,,,,,15,29,10633,,,,15,1183,,,,11,13141,,,,13,6173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,24-Jun-2024,06:42:13,1,-2.000000,111,98,0,6,,,,,,,,,,,,,,,15,9,14835,,,,16,1400,,,,26,29284,,,,1,5500,,,,18,19264,,,,4,7130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,24-Jun-2024,08:42:37,1,-2.000000,114,98,0,4,,,,,,,,,,,,,,,15,8,20367,,,,21,23925,,,,16,10305,,,,2,7143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,24-Jun-2024,12:18:56,2,-2.000000,120,100,0,5,,,,,,,,,,,,,,,15,17,10554,,,,22,530,,,,19,8697,,,,14,18808,,,,6,27420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,24-Jun-2024,15:34:01,2,-2.000000,121,110,0,4,,,,,,,,,,,,,,,15,6,8195,,,,4,9310,,,,11,12673,,,,25,1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,24-Jun-2024,22:07:58,1,-2.000000,128,121,0,4,,,,,,,,,,,,,,,15,23,15380,,,,27,25076,,,,10,832,,,,15,1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,24-Jun-2024,22:55:21,1,-2.000000,129,122,0,4,,,,,,,,,,,,,,,15,12,12904,,,,18,2305,,,,32,12128,,,,24,14528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,25-Jun-2024,06:39:29,1,-2.000000,133,137,0,4,,,,,,,,,,,,,,,15,27,25954,,,,1,22347,,,,16,20956,,,,26,13536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,25-Jun-2024,08:58:49,1,-2.000000,135,141,0,5,,,,,,,,,,,,,,,15,14,31434,,,,21,23247,,,,30,31384,,,,2,20321,,,,7,4608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,25-Jun-2024,10:17:11,1,-2.000000,137,142,0,5,,,,,,,,,,,,,,,15,7,11306,,,,2,4363,,,,21,26138,,,,17,11012,,,,30,26205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
