DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
CCS-0187,234805,Mk10,Strong,04-Jul-2022,15:40:58,04-Jul-2022,15:44:03
CCS-0187,234805,Mk10,Strong,31-Jul-2022,12:04:58,31-Jul-2022,12:08:07
