DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
CCS-0187,234805,Mk10,15:16:00 04-Jul-2022,User,,42.1323,-70.1652,,,,,,,,,,
CCS-0187,234805,Mk10,22:54:19 04-Jul-2022,Argos,0,42.1380,-70.5216,3196,34411,296,86,,,,,,
CCS-0187,234805,Mk10,23:01:13 04-Jul-2022,Argos,A,42.1255,-70.4540,3422,55792,209,95,,,,,,
CCS-0187,234805,Mk10,23:16:47 04-Jul-2022,Argos,B,42.1329,-70.5125,7173,10261,5014,87,,,,,,
CCS-0187,234805,Mk10,23:49:06 04-Jul-2022,Argos,0,42.0798,-70.5130,8145,114749,578,77,,,,,,
CCS-0187,234805,Mk10,01:31:42 05-Jul-2022,Argos,0,42.1215,-70.2941,1666,5336,520,115,,,,,,
CCS-0187,234805,Mk10,01:32:28 05-Jul-2022,Argos,B,42.1214,-70.2939,1431,3001,682,112,,,,,,
CCS-0187,234805,Mk10,09:38:54 05-Jul-2022,Argos,B,42.0780,-70.1117,8800,257759,300,128,,,,,,
CCS-0187,234805,Mk10,10:09:55 05-Jul-2022,Argos,B,42.0788,-70.1126,1666,5108,543,125,,,,,,
CCS-0187,234805,Mk10,11:28:37 05-Jul-2022,Argos,A,42.1139,-70.1561,328,544,197,102,,,,,,
CCS-0187,234805,Mk10,12:08:14 05-Jul-2022,Argos,B,42.1199,-70.1607,1051,1417,778,89,,,,,,
CCS-0187,234805,Mk10,13:09:28 05-Jul-2022,Argos,B,42.1630,-70.1855,3793,21506,669,111,,,,,,
CCS-0187,234805,Mk10,13:20:50 05-Jul-2022,Argos,B,42.1641,-70.1839,1781,8020,395,111,,,,,,
CCS-0187,234805,Mk10,13:54:31 05-Jul-2022,Argos,B,42.1715,-70.2008,1873,5873,597,112,,,,,,
CCS-0187,234805,Mk10,14:09:02 05-Jul-2022,Argos,A,42.0797,-70.1732,324,1530,68,75,,,,,,
CCS-0187,234805,Mk10,15:04:28 05-Jul-2022,Argos,B,42.0849,-70.1923,1592,2600,975,90,,,,,,
CCS-0187,234805,Mk10,15:25:57 05-Jul-2022,Argos,B,42.1439,-70.1854,1091,45270,26,102,,,,,,
CCS-0187,234805,Mk10,16:43:52 05-Jul-2022,Argos,B,42.1581,-70.2065,1623,3690,714,100,,,,,,
CCS-0187,234805,Mk10,17:09:58 05-Jul-2022,Argos,A,42.1887,-70.2197,10653,36112,3142,93,,,,,,
CCS-0187,234805,Mk10,22:04:49 05-Jul-2022,Argos,B,42.2565,-70.2687,28456,44836,18060,88,,,,,,
CCS-0187,234805,Mk10,22:22:11 05-Jul-2022,Argos,B,42.1535,-70.2184,11834,500828,279,71,,,,,,
CCS-0187,234805,Mk10,23:39:03 05-Jul-2022,Argos,B,42.1384,-70.2584,1133,17811,72,59,,,,,,
CCS-0187,234805,Mk10,00:02:56 06-Jul-2022,Argos,B,42.1468,-70.2595,990,2252,435,70,,,,,,
CCS-0187,234805,Mk10,00:32:21 06-Jul-2022,Argos,B,42.1478,-70.2672,1164,2102,644,87,,,,,,
CCS-0187,234805,Mk10,00:43:25 06-Jul-2022,Argos,B,42.1510,-70.2687,1239,2399,639,87,,,,,,
CCS-0187,234805,Mk10,01:20:48 06-Jul-2022,Argos,B,42.1545,-70.2657,1452,2288,921,92,,,,,,
CCS-0187,234805,Mk10,01:20:48 06-Jul-2022,Argos,B,42.1556,-70.2533,1457,2362,898,100,,,,,,
