DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
CCS-0710,234802,,Mk10,,,14:25:07 07-Jul-2022,,0,42.2336,-70.1798,CRC,0,0,,2726,3.376,1.016,0.236,18.10,1.0,28.0,0,,,,,,,,,,,134,19,255,80,256,,,,,,,,,0,,,,,,,,,,
CCS-0710,234802,,Mk10,,11:51:01 08-Jul-2022,11:54:05 08-Jul-2022,184,1,42.1019,-70.3346,CRC,0,0,,,,1.016,0.312,,1.0,30.0,0,,,,,,,,,,,193,19,255,80,256,,,,,,,,,0,,,,,,,,,,
CCS-0710,234802,,Mk10,,10:51:39 10-Jul-2022,10:54:44 10-Jul-2022,185,0,42.0485,-70.2825,CRC,0,0,,,,1.016,0.328,,1.5,28.0,0,,,,,,,,,,,210,18,255,80,256,,,,,,,,,0,,,,,,,,,,
CCS-0710,234802,,Mk10,,12:36:45 10-Jul-2022,12:39:49 10-Jul-2022,184,0,42.1236,-70.3478,CRC,0,0,,,,1.024,0.184,,1.0,28.0,0,,,,,,,,,,,130,18,255,80,256,,,,,,,,,0,,,,,,,,,,
CCS-0710,234802,,Mk10,,00:01:44 11-Jul-2022,00:04:49 11-Jul-2022,185,A,42.1054,-70.3365,CRC,0,0,,,,1.016,0.180,,0.5,30.0,0,,,,,,,,,,,114,18,255,80,256,,,,,,,,,0,,,,,,,,,,
CCS-0710,234802,,Mk10,,,00:44:33 11-Jul-2022,,2,42.1030,-70.2869,CRC,0,0,,4262,3.440,1.016,0.212,19.10,0.5,30.0,0,,,,,,,,,,,80,18,255,80,256,,,,,,,,,0,,,,,,,,,,
CCS-0710,234802,,Mk10,,,08:43:26 11-Jul-2022,,B,42.0429,-70.2143,CRC,0,0,,4454,3.440,1.016,0.220,19.00,1.0,30.0,0,,,,,,,,,,,198,18,255,80,256,,,,,,,,,0,,,,,,,,,,
CCS-0710,234802,,Mk10,,,01:40:43 12-Jul-2022,,A,42.0001,-70.2303,,0,0,,4838,3.440,1.016,0.240,20.20,0.5,28.0,0,,,,,,,,,,,,18,255,80,8,,,,,,,,,0,,,,,,,,,,
CCS-0710,234802,,Mk10,,,10:24:10 14-Jul-2022,,1,42.1561,-70.0312,CRC,0,0,,6054,3.376,1.016,0.268,17.90,0.5,38.0,0,,,,,,,,,,,217,17,255,80,256,,,,,,,,,0,,,,,,,,,,
CCS-0710,234802,,Mk10,,,09:55:38 15-Jul-2022,,0,42.1561,-70.2368,CRC,0,0,,6438,3.440,1.016,0.228,17.80,1.0,52.0,0,,,,,,,,,,,204,18,255,80,256,,,,,,,,,0,,,,,,,,,,
