DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
CCS-0710,234802,,Mk10,02:00:00 07-Jul-2022,,,,1.3,19.0,TimeSeries
CCS-0710,234802,,Mk10,03:00:00 07-Jul-2022,,,,1.3,19.4,TimeSeries
CCS-0710,234802,,Mk10,11:00:00 07-Jul-2022,,,,1.3,18.4,TimeSeries
CCS-0710,234802,,Mk10,12:00:00 07-Jul-2022,,,,1.3,18.4,TimeSeries
CCS-0710,234802,,Mk10,13:00:00 07-Jul-2022,,,,1.3,18.8,TimeSeries
CCS-0710,234802,,Mk10,14:00:00 07-Jul-2022,,,,0.0,18.1,Status
CCS-0710,234802,,Mk10,15:00:00 07-Jul-2022,,,,0.8,19.4,TimeSeries
CCS-0710,234802,,Mk10,03:00:00 10-Jul-2022,,,,1.3,18.6,TimeSeries
CCS-0710,234802,,Mk10,04:00:00 10-Jul-2022,,,,1.3,18.6,TimeSeries
CCS-0710,234802,,Mk10,05:00:00 10-Jul-2022,,,,1.3,19.3,TimeSeries
CCS-0710,234802,,Mk10,06:00:00 10-Jul-2022,,,,0.8,18.4,TimeSeries
CCS-0710,234802,,Mk10,09:00:00 10-Jul-2022,,,,0.8,18.3,TimeSeries
CCS-0710,234802,,Mk10,10:00:00 10-Jul-2022,,,,0.8,19.9,TimeSeries
CCS-0710,234802,,Mk10,14:00:00 10-Jul-2022,,,,0.8,19.1,TimeSeries
CCS-0710,234802,,Mk10,15:00:00 10-Jul-2022,,,,0.8,19.1,TimeSeries
CCS-0710,234802,,Mk10,16:00:00 10-Jul-2022,,,,0.8,19.3,TimeSeries
CCS-0710,234802,,Mk10,17:00:00 10-Jul-2022,,,,0.8,19.3,TimeSeries
CCS-0710,234802,,Mk10,19:00:00 10-Jul-2022,,,,0.8,19.5,TimeSeries
CCS-0710,234802,,Mk10,20:00:00 10-Jul-2022,,,,1.3,19.5,TimeSeries
CCS-0710,234802,,Mk10,22:00:00 10-Jul-2022,,,,0.8,20.0,TimeSeries
CCS-0710,234802,,Mk10,23:00:00 10-Jul-2022,,,,0.8,20.0,TimeSeries
CCS-0710,234802,,Mk10,01:00:00 11-Jul-2022,,,,0.0,19.1,Status
CCS-0710,234802,,Mk10,09:00:00 11-Jul-2022,,,,0.0,19.0,Status
CCS-0710,234802,,Mk10,00:00:00 13-Jul-2022,,,,0.6,20.8,TimeSeries
CCS-0710,234802,,Mk10,01:00:00 13-Jul-2022,,,,0.6,20.8,TimeSeries
CCS-0710,234802,,Mk10,02:00:00 13-Jul-2022,,,,0.8,20.8,TimeSeries
CCS-0710,234802,,Mk10,03:00:00 13-Jul-2022,,,,0.8,20.8,TimeSeries
CCS-0710,234802,,Mk10,04:00:00 13-Jul-2022,,,,0.8,20.1,TimeSeries
CCS-0710,234802,,Mk10,07:00:00 13-Jul-2022,,,,0.8,19.8,TimeSeries
CCS-0710,234802,,Mk10,08:00:00 13-Jul-2022,,,,0.8,19.9,TimeSeries
CCS-0710,234802,,Mk10,11:00:00 13-Jul-2022,,,,1.3,20.4,TimeSeries
CCS-0710,234802,,Mk10,12:00:00 13-Jul-2022,,,,0.8,19.8,TimeSeries
CCS-0710,234802,,Mk10,13:00:00 13-Jul-2022,,,,1.3,19.0,TimeSeries
CCS-0710,234802,,Mk10,17:00:00 13-Jul-2022,,,,0.8,18.7,TimeSeries
CCS-0710,234802,,Mk10,18:00:00 13-Jul-2022,,,,0.8,17.3,TimeSeries
CCS-0710,234802,,Mk10,19:00:00 13-Jul-2022,,,,1.3,18.1,TimeSeries
CCS-0710,234802,,Mk10,22:00:00 13-Jul-2022,,,,1.3,17.1,TimeSeries
