DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
CCS-0710,234802,Mk10,Strong,08-Jul-2022,11:51:01,08-Jul-2022,11:54:05
CCS-0710,234802,Mk10,Strong,06-Aug-2022,10:09:28,06-Aug-2022,10:12:34
