Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
BOF2,24-Jul-2024,17:28:00,16,2.000000,88,10,0,5,,,,,,,,,,,,,,,15,20,8641,,,,11,12947,,,,13,21367,,,,29,6030,,,,15,1077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF2,24-Jul-2024,17:58:00,1,2.000000,89,10,0,4,,,,,,,,,,,,,,,15,11,17842,,,,15,15669,,,,20,20522,,,,29,21768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF2,24-Jul-2024,18:28:00,1,2.000000,90,10,0,4,,,,,,,,,,,,,,,15,5,29625,,,,13,20740,,,,15,27015,,,,11,15429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF2,24-Jul-2024,19:13:00,3,2.000000,91,11,0,4,,,,,,,,,,,,,,,15,15,8430,,,,18,28721,,,,24,1001,,,,5,16890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF2,24-Jul-2024,20:13:00,2,2.000000,92,13,0,4,,,,,,,,,,,,,,,15,18,19870,,,,24,22700,,,,15,20344,,,,23,15426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF2,24-Jul-2024,20:43:00,2,2.000000,93,13,0,4,,,,,,,,,,,,,,,15,23,17089,,,,15,11026,,,,24,1434,,,,12,13639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF2,24-Jul-2024,23:13:00,2,2.000000,96,17,0,6,,,,,,,,,,,,,,,15,32,12651,,,,10,5559,,,,25,7217,,,,12,29300,,,,23,30021,,,,28,29470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF2,09-Aug-2024,03:49:54,2,1.000000,97,41,0,4,,,,,,,,,,,,,,,15,27,22004,,,,8,2165,,,,16,9771,,,,4,11404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF2,09-Aug-2024,21:35:26,2,1.000000,99,96,0,4,,,,,,,,,,,,,,,15,12,18598,,,,24,112,,,,10,15970,,,,32,2576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF2,09-Aug-2024,22:40:45,3,1.000000,100,98,0,4,,,,,,,,,,,,,,,15,21,29287,,,,2,13106,,,,23,24448,,,,31,9471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
