DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
BOF2,267426,Mk10,Strong,24-Jul-2024,17:24:40,24-Jul-2024,17:24:42
BOF2,267426,Mk10,Strong,02-Sep-2024,10:30:21,02-Sep-2024,10:30:21
