DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
BOF2,267426,,Transmission,Mk10,5,21:04:00 08-Aug-2024,22:02:20 08-Aug-2024,Message,10,,,,3490.000000,3510.000000,,
BOF2,267426,,Transmission,Mk10,5,21:04:00 08-Aug-2024,21:13:28 08-Aug-2024,Surface,,,,,567,569,92,476
BOF2,267426,,Transmission,Mk10,5,21:13:28 08-Aug-2024,21:17:38 08-Aug-2024,Dive,1,U,65.0,66.5,249,251,,
BOF2,267426,,Transmission,Mk10,5,21:17:38 08-Aug-2024,21:18:52 08-Aug-2024,Surface,,,,,73,75,62,12
BOF2,267426,,Transmission,Mk10,5,21:18:52 08-Aug-2024,21:22:08 08-Aug-2024,Dive,1,V,16.5,16.5,195,197,,
BOF2,267426,,Transmission,Mk10,5,21:22:08 08-Aug-2024,21:34:34 08-Aug-2024,Surface,,,,,745,747,168,578
BOF2,267426,,Transmission,Mk10,5,21:34:34 08-Aug-2024,21:38:24 08-Aug-2024,Dive,1,Square,6.0,6.0,229,231,,
BOF2,267426,,Transmission,Mk10,5,21:38:24 08-Aug-2024,21:48:20 08-Aug-2024,Surface,,,,,595,597,96,500
BOF2,267426,,Transmission,Mk10,5,21:48:20 08-Aug-2024,21:51:44 08-Aug-2024,Dive,1,Square,5.5,5.5,203,205,,
BOF2,267426,,Transmission,Mk10,5,21:51:44 08-Aug-2024,21:58:36 08-Aug-2024,Surface,,,,,411,413,80,332
BOF2,267426,,Transmission,Mk10,5,21:58:36 08-Aug-2024,22:02:20 08-Aug-2024,Dive,1,Square,7.5,7.5,223,225,,
BOF2,267426,,Transmission,Mk10,4,22:02:00 08-Aug-2024,00:09:16 09-Aug-2024,Message,10,,,,7626.000000,7646.000000,,
BOF2,267426,,Transmission,Mk10,4,22:02:00 08-Aug-2024,22:42:20 08-Aug-2024,Surface,,,,,2419,2421,781,1639
BOF2,267426,,Transmission,Mk10,4,22:42:20 08-Aug-2024,22:47:38 08-Aug-2024,Dive,1,Square,5.5,5.5,317,319,,
BOF2,267426,,Transmission,Mk10,4,22:47:38 08-Aug-2024,23:15:32 08-Aug-2024,Surface,,,,,1673,1675,648,1026
BOF2,267426,,Transmission,Mk10,4,23:15:32 08-Aug-2024,23:18:32 08-Aug-2024,Dive,1,Square,4.0,4.0,179,181,,
BOF2,267426,,Transmission,Mk10,4,23:18:32 08-Aug-2024,23:22:38 08-Aug-2024,Surface,,,,,245,247,71,175
BOF2,267426,,Transmission,Mk10,4,23:22:38 08-Aug-2024,23:26:14 08-Aug-2024,Dive,1,Square,5.0,5.0,215,217,,
BOF2,267426,,Transmission,Mk10,4,23:26:14 08-Aug-2024,23:31:22 08-Aug-2024,Surface,,,,,307,309,70,238
BOF2,267426,,Transmission,Mk10,4,23:31:22 08-Aug-2024,23:34:42 08-Aug-2024,Dive,1,Square,5.5,5.5,199,201,,
BOF2,267426,,Transmission,Mk10,4,23:34:42 08-Aug-2024,00:02:10 09-Aug-2024,Surface,,,,,1647,1649,266,1382
BOF2,267426,,Transmission,Mk10,4,00:02:10 09-Aug-2024,00:09:16 09-Aug-2024,Dive,1,Square,24.5,25.0,425,427,,
BOF2,267426,,Transmission,Mk10,4,00:09:00 09-Aug-2024,01:22:00 09-Aug-2024,Message,10,,,,4370.000000,4390.000000,,
BOF2,267426,,Transmission,Mk10,4,00:09:00 09-Aug-2024,00:11:08 09-Aug-2024,Surface,,,,,127,129,83,45
BOF2,267426,,Transmission,Mk10,4,00:11:08 09-Aug-2024,00:16:54 09-Aug-2024,Dive,1,Square,21.0,21.0,345,347,,
BOF2,267426,,Transmission,Mk10,4,00:16:54 09-Aug-2024,00:18:24 09-Aug-2024,Surface,,,,,89,91,90,0
BOF2,267426,,Transmission,Mk10,4,00:18:24 09-Aug-2024,00:22:00 09-Aug-2024,Dive,1,U,7.5,7.5,215,217,,
BOF2,267426,,Transmission,Mk10,4,00:22:00 09-Aug-2024,00:28:22 09-Aug-2024,Surface,,,,,381,383,173,209
BOF2,267426,,Transmission,Mk10,4,00:28:22 09-Aug-2024,00:32:54 09-Aug-2024,Dive,1,Square,19.5,19.5,271,273,,
BOF2,267426,,Transmission,Mk10,4,00:32:54 09-Aug-2024,00:38:36 09-Aug-2024,Surface,,,,,341,343,165,177
BOF2,267426,,Transmission,Mk10,4,00:38:36 09-Aug-2024,00:43:38 09-Aug-2024,Dive,1,Square,12.5,12.5,301,303,,
BOF2,267426,,Transmission,Mk10,4,00:43:38 09-Aug-2024,01:18:42 09-Aug-2024,Surface,,,,,2103,2105,814,1290
BOF2,267426,,Transmission,Mk10,4,01:18:42 09-Aug-2024,01:22:00 09-Aug-2024,Dive,1,Square,8.0,8.0,197,199,,
BOF2,267426,,Transmission,Mk10,2,01:22:00 09-Aug-2024,03:54:20 09-Aug-2024,Message,10,,,,9130.000000,9150.000000,,
BOF2,267426,,Transmission,Mk10,2,01:22:00 09-Aug-2024,01:23:10 09-Aug-2024,Surface,,,,,69,71,45,25
BOF2,267426,,Transmission,Mk10,2,01:23:10 09-Aug-2024,01:28:54 09-Aug-2024,Dive,1,U,16.0,16.0,343,345,,
BOF2,267426,,Transmission,Mk10,2,01:28:54 09-Aug-2024,01:43:26 09-Aug-2024,Surface,,,,,871,873,197,675
BOF2,267426,,Transmission,Mk10,2,01:43:26 09-Aug-2024,01:46:34 09-Aug-2024,Dive,1,Square,6.0,6.0,187,189,,
BOF2,267426,,Transmission,Mk10,2,01:46:34 09-Aug-2024,02:10:16 09-Aug-2024,Surface,,,,,1421,1423,321,1101
BOF2,267426,,Transmission,Mk10,2,02:10:16 09-Aug-2024,02:13:20 09-Aug-2024,Dive,1,Square,4.5,4.5,183,185,,
BOF2,267426,,Transmission,Mk10,2,02:13:20 09-Aug-2024,02:27:44 09-Aug-2024,Surface,,,,,863,865,279,585
BOF2,267426,,Transmission,Mk10,2,02:27:44 09-Aug-2024,02:34:10 09-Aug-2024,Dive,1,V,14.0,14.0,385,387,,
BOF2,267426,,Transmission,Mk10,2,02:34:10 09-Aug-2024,03:50:20 09-Aug-2024,Surface,,,,,4569,4571,1179,3391
BOF2,267426,,Transmission,Mk10,2,03:50:20 09-Aug-2024,03:54:20 09-Aug-2024,Dive,1,U,26.5,27.0,239,241,,
BOF2,267426,,Transmission,Mk10,1,03:55:00 09-Aug-2024,04:32:40 09-Aug-2024,Message,10,,,,2250.000000,2270.000000,,
BOF2,267426,,Transmission,Mk10,1,03:55:00 09-Aug-2024,03:57:08 09-Aug-2024,Surface,,,,,127,129,124,4
BOF2,267426,,Transmission,Mk10,1,03:57:08 09-Aug-2024,04:01:12 09-Aug-2024,Dive,1,U,17.0,17.0,243,245,,
BOF2,267426,,Transmission,Mk10,1,04:01:12 09-Aug-2024,04:03:08 09-Aug-2024,Surface,,,,,115,117,112,4
BOF2,267426,,Transmission,Mk10,1,04:03:08 09-Aug-2024,04:07:40 09-Aug-2024,Dive,1,Square,15.5,15.5,271,273,,
BOF2,267426,,Transmission,Mk10,1,04:07:40 09-Aug-2024,04:10:12 09-Aug-2024,Surface,,,,,151,153,118,34
BOF2,267426,,Transmission,Mk10,1,04:10:12 09-Aug-2024,04:14:58 09-Aug-2024,Dive,1,V,15.0,15.0,285,287,,
BOF2,267426,,Transmission,Mk10,1,04:14:58 09-Aug-2024,04:17:04 09-Aug-2024,Surface,,,,,125,127,122,4
BOF2,267426,,Transmission,Mk10,1,04:17:04 09-Aug-2024,04:21:42 09-Aug-2024,Dive,1,Square,9.5,9.5,277,279,,
BOF2,267426,,Transmission,Mk10,1,04:21:42 09-Aug-2024,04:28:34 09-Aug-2024,Surface,,,,,411,413,226,186
BOF2,267426,,Transmission,Mk10,1,04:28:34 09-Aug-2024,04:32:40 09-Aug-2024,Dive,1,U,11.0,11.0,245,247,,
BOF2,267426,,Transmission,Mk10,1,04:32:00 09-Aug-2024,08:47:08 09-Aug-2024,Message,10,,,,15298.000000,15318.000000,,
BOF2,267426,,Transmission,Mk10,1,04:32:00 09-Aug-2024,05:22:40 09-Aug-2024,Surface,,,,,3039,3041,1079,1961
BOF2,267426,,Transmission,Mk10,1,05:22:40 09-Aug-2024,05:27:36 09-Aug-2024,Dive,1,Square,18.5,18.5,295,297,,
BOF2,267426,,Transmission,Mk10,1,05:27:36 09-Aug-2024,05:49:44 09-Aug-2024,Surface,,,,,1327,1329,300,1028
BOF2,267426,,Transmission,Mk10,1,05:49:44 09-Aug-2024,05:53:16 09-Aug-2024,Dive,1,Square,5.0,5.0,211,213,,
BOF2,267426,,Transmission,Mk10,1,05:53:16 09-Aug-2024,08:29:18 09-Aug-2024,Surface,,,,,9361,9363,2114,7248
BOF2,267426,,Transmission,Mk10,1,08:29:18 09-Aug-2024,08:32:20 09-Aug-2024,Dive,1,U,16.0,16.0,181,183,,
BOF2,267426,,Transmission,Mk10,1,08:32:20 09-Aug-2024,08:33:30 09-Aug-2024,Surface,,,,,69,71,70,0
BOF2,267426,,Transmission,Mk10,1,08:33:30 09-Aug-2024,08:36:58 09-Aug-2024,Dive,1,V,10.5,10.5,207,209,,
BOF2,267426,,Transmission,Mk10,1,08:36:58 09-Aug-2024,08:38:52 09-Aug-2024,Surface,,,,,113,115,88,26
BOF2,267426,,Transmission,Mk10,1,08:38:52 09-Aug-2024,08:47:08 09-Aug-2024,Dive,1,Square,34.5,35.0,495,497,,
BOF2,267426,,Transmission,Mk10,2,09:36:00 09-Aug-2024,10:15:22 09-Aug-2024,Message,10,,,,2352.000000,2372.000000,,
BOF2,267426,,Transmission,Mk10,2,09:36:00 09-Aug-2024,09:40:48 09-Aug-2024,Dive,1,U,57.0,58.5,287,289,,
BOF2,267426,,Transmission,Mk10,2,09:40:48 09-Aug-2024,09:42:00 09-Aug-2024,Surface,,,,,71,73,65,7
BOF2,267426,,Transmission,Mk10,2,09:42:00 09-Aug-2024,09:48:50 09-Aug-2024,Dive,1,Square,57.0,58.5,409,411,,
BOF2,267426,,Transmission,Mk10,2,09:48:50 09-Aug-2024,09:51:24 09-Aug-2024,Surface,,,,,153,155,124,30
