DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
BOF2,267426,Mk10,00:54:33 10-Aug-2024,Argos,B,44.7831,-66.6472,962,2149,430,124,,,,,,
BOF2,267426,Mk10,01:16:20 10-Aug-2024,Argos,B,44.7899,-66.6515,1422,2171,931,98,,,,,,
BOF2,267426,Mk10,01:36:30 10-Aug-2024,Argos,A,44.8141,-66.6615,521,7493,36,66,,,,,,
BOF2,267426,Mk10,02:15:13 10-Aug-2024,Argos,A,44.8224,-66.6586,906,19196,42,78,,,,,,
BOF2,267426,Mk10,02:22:30 10-Aug-2024,Argos,B,44.8128,-66.6622,1063,1801,627,80,,,,,,
BOF2,267426,Mk10,02:57:38 10-Aug-2024,Argos,B,44.8086,-66.6614,1322,2132,819,82,,,,,,
BOF2,267426,Mk10,08:39:52 10-Aug-2024,Argos,0,44.9224,-66.5794,5741,48370,681,9,,,,,,
BOF2,267426,Mk10,09:27:07 10-Aug-2024,Argos,B,44.8910,-66.5926,3588,31764,405,43,,,,,,
BOF2,267426,Mk10,09:40:33 10-Aug-2024,Argos,A,44.8257,-66.6719,1810,3872,845,22,,,,,,
BOF2,267426,Mk10,10:21:05 10-Aug-2024,Argos,B,44.7556,-66.6787,1936,7726,485,83,,,,,,
BOF2,267426,Mk10,11:01:15 10-Aug-2024,Argos,B,44.7272,-66.5946,2461,6115,990,3,,,,,,
BOF2,267426,Mk10,11:14:51 10-Aug-2024,Argos,B,44.7229,-66.5956,2117,2316,1933,177,,,,,,
BOF2,267426,Mk10,11:30:32 10-Aug-2024,Argos,1,44.7067,-66.5305,793,4112,152,81,,,,,,
BOF2,267426,Mk10,13:09:31 10-Aug-2024,Argos,B,44.6439,-66.4911,7729,12752,4684,89,,,,,,
BOF2,267426,Mk10,13:31:55 10-Aug-2024,Argos,1,44.6858,-66.3906,813,1763,374,100,,,,,,
BOF2,267426,Mk10,13:56:22 10-Aug-2024,Argos,0,44.7175,-66.3779,1538,12917,183,106,,,,,,
BOF2,267426,Mk10,14:40:35 10-Aug-2024,Argos,B,44.6958,-66.3483,3106,6362,1516,98,,,,,,
BOF2,267426,Mk10,14:40:35 10-Aug-2024,Argos,B,44.7047,-66.3590,3299,7858,1384,108,,,,,,
BOF2,267426,Mk10,16:06:43 10-Aug-2024,Argos,1,44.7165,-66.2338,941,2043,433,95,,,,,,
BOF2,267426,Mk10,16:13:57 10-Aug-2024,Argos,1,44.7421,-66.2456,811,2574,255,81,,,,,,
BOF2,267426,Mk10,17:44:57 10-Aug-2024,Argos,B,44.8206,-66.2911,5364,16720,1720,97,,,,,,
BOF2,267426,Mk10,20:54:49 10-Aug-2024,Argos,B,44.9532,-66.4318,9041,43207,1891,85,,,,,,
BOF2,267426,Mk10,21:13:46 10-Aug-2024,Argos,B,44.9809,-66.3089,12642,94920,1683,85,,,,,,
BOF2,267426,Mk10,22:23:06 10-Aug-2024,Argos,B,44.9265,-66.1599,5606,222560,141,87,,,,,,
BOF2,267426,Mk10,22:33:26 10-Aug-2024,Argos,B,44.9313,-66.2549,252,1769,35,79,,,,,,
BOF2,267426,Mk10,22:33:26 10-Aug-2024,Argos,B,44.9224,-66.2463,413,916,186,137,,,,,,
BOF2,267426,Mk10,22:46:37 10-Aug-2024,Argos,B,44.9612,-66.2294,2268,25560,201,87,,,,,,
BOF2,267426,Mk10,23:33:22 10-Aug-2024,Argos,B,44.9561,-66.1816,2485,6244,988,89,,,,,,
BOF2,267426,Mk10,00:00:44 11-Aug-2024,Argos,B,44.9219,-66.2117,2107,33538,132,102,,,,,,
BOF2,267426,Mk10,00:13:11 11-Aug-2024,Argos,A,44.8674,-66.3210,1034,2562,416,131,,,,,,
BOF2,267426,Mk10,00:20:07 11-Aug-2024,Argos,B,44.8681,-66.3141,3176,4485,2248,104,,,,,,
BOF2,267426,Mk10,01:04:46 11-Aug-2024,Argos,B,44.8806,-66.2861,4946,9315,2626,82,,,,,,
BOF2,267426,Mk10,02:01:36 11-Aug-2024,Argos,B,44.8818,-66.2514,8457,21650,3303,87,,,,,,
BOF2,267426,Mk10,02:01:36 11-Aug-2024,Argos,B,44.8797,-66.2905,1965,5333,724,88,,,,,,
BOF2,267426,Mk10,03:17:32 11-Aug-2024,Argos,B,44.8531,-66.2923,2225,5553,891,89,,,,,,
BOF2,267426,Mk10,08:14:08 11-Aug-2024,Argos,B,44.6834,-66.2650,3212,128285,80,105,,,,,,
BOF2,267426,Mk10,08:59:00 11-Aug-2024,Argos,B,44.6667,-66.2184,4521,18700,1093,99,,,,,,
BOF2,267426,Mk10,09:02:34 11-Aug-2024,Argos,B,44.6786,-66.4397,1148,8260,159,146,,,,,,
BOF2,267426,Mk10,09:47:11 11-Aug-2024,Argos,B,44.6601,-66.3882,710,15717,32,86,,,,,,
BOF2,267426,Mk10,10:42:07 11-Aug-2024,Argos,B,44.6390,-66.3247,1255,2562,615,86,,,,,,
BOF2,267426,Mk10,10:58:10 11-Aug-2024,Argos,B,44.6361,-66.3158,2644,9620,726,105,,,,,,
BOF2,267426,Mk10,12:39:25 11-Aug-2024,Argos,B,44.6270,-66.3496,2240,4031,1244,110,,,,,,
BOF2,267426,Mk10,13:21:50 11-Aug-2024,Argos,A,44.7077,-66.6256,9353,110669,790,98,,,,,,
BOF2,267426,Mk10,13:32:31 11-Aug-2024,Argos,B,44.7220,-66.6892,3049,6563,1416,94,,,,,,
