DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
BOF2,267426,Mk10,DS,28,12,10,,,17:29:25 24-Jul-2024,O3,3,44.9021,-66.9880,44.9021,-66.9880,60,,401677356,-124
BOF2,267426,Mk10,DS,6,0,1,89,89,19:20:07 24-Jul-2024,CS,2,44.9105,-66.9685,44.9105,-66.9685,58,,401677331,-128
BOF2,267426,Mk10,DS,5,0,2,133,89,20:58:16 24-Jul-2024,CS,3,44.9021,-66.9907,44.9021,-66.9907,58,,401677326,-128
BOF2,267426,Mk10,DS,8,0,0,90,89,21:30:37 24-Jul-2024,SR,3,44.9027,-66.9857,44.9027,-66.9857,58,,401677324,-126
BOF2,267426,Mk10,DS,3,0,0,178,89,21:45:54 24-Jul-2024,A1,A,44.9010,-66.9819,44.9010,-66.9819,6,,401677324,-133
BOF2,267426,Mk10,DS,5,0,0,111,89,21:49:58 24-Jul-2024,NK,3,44.9013,-66.9832,44.9013,-66.9832,56,,401677326,-128
BOF2,267426,Mk10,DS,1,0,0,,,22:35:41 24-Jul-2024,CS,B,44.9018,-66.9806,44.9018,-66.9806,8,,401677328,-131
BOF2,267426,Mk10,DS,1,0,0,,,22:49:22 24-Jul-2024,MC,B,44.9019,-66.9811,44.9019,-66.9811,6,,401677327,-126
BOF2,267426,Mk10,DS,8,0,1,104,89,23:16:24 24-Jul-2024,SR,3,44.8997,-66.9758,44.8997,-66.9758,50,,401677324,-129
BOF2,267426,Mk10,DS,6,0,0,106,89,23:16:24 24-Jul-2024,A1,3,44.8992,-66.9749,44.8992,-66.9749,56,,401677324,-132
BOF2,267426,Mk10,DS,1,0,1,,,23:23:49 24-Jul-2024,NK,B,44.9015,-66.9807,44.9015,-66.9807,6,,401677324,-129
BOF2,267426,Mk10,DS,2,0,1,533,533,22:02:51 08-Aug-2024,NK,B,44.8442,-66.5265,44.8442,-66.5265,,,401677311,-130
BOF2,267426,Mk10,DS,1,0,1,,,21:58:25 08-Aug-2024,SR,,,,,,,,401650000,-129
BOF2,267426,Mk10,DS,1,0,0,,,23:38:38 08-Aug-2024,SR,B,44.7943,-66.4475,44.7943,-66.4475,8,,401677327,-125
BOF2,267426,Mk10,DS,2,0,1,284,284,23:41:00 08-Aug-2024,NK,B,44.7880,-66.5340,44.7880,-66.5340,6,,401677320,-123
BOF2,267426,Mk10,DS,1,0,1,,,23:43:22 08-Aug-2024,NP,B,44.7887,-66.4421,44.7887,-66.4421,6,,401677321,-137
BOF2,267426,Mk10,DS,1,0,1,,,00:18:39 09-Aug-2024,MC,B,44.7765,-66.4210,44.7765,-66.4210,8,,401677312,-121
BOF2,267426,Mk10,DS,2,0,1,265,265,01:01:54 09-Aug-2024,MB,B,44.7776,-66.4133,44.7776,-66.4133,7,,401677322,-123
BOF2,267426,Mk10,DS,1,0,0,,,01:30:19 09-Aug-2024,NP,B,44.7566,-66.4283,44.7566,-66.4283,6,,401677294,-122
BOF2,267426,Mk10,DS,2,0,0,131,131,01:56:38 09-Aug-2024,MC,B,44.7408,-66.4710,44.7408,-66.4710,6,,401677333,-118
BOF2,267426,Mk10,DS,2,0,1,392,392,02:27:56 09-Aug-2024,NN,B,44.7593,-66.4947,44.7593,-66.4947,8,,401677323,-121
BOF2,267426,Mk10,DS,2,0,1,407,407,04:08:40 09-Aug-2024,NN,B,44.7681,-66.4942,44.7681,-66.4942,8,,401677325,-133
BOF2,267426,Mk10,DS,4,0,2,159,56,04:48:25 09-Aug-2024,O3,1,44.8488,-66.4583,44.8488,-66.4583,46,,401677333,-126
BOF2,267426,Mk10,DS,2,0,2,48,48,09:09:16 09-Aug-2024,SR,B,45.0442,-66.3022,45.0442,-66.3022,8,,401677271,-136
BOF2,267426,Mk10,DS,5,0,3,121,28,09:51:36 09-Aug-2024,A1,0,44.9055,-66.5656,45.7718,-60.2729,58,,401677300,-128
BOF2,267426,Mk10,DS,1,0,0,,,10:12:31 09-Aug-2024,NK,B,45.0203,-66.2339,45.0203,-66.2339,5,,401677348,-137
BOF2,267426,Mk10,DS,4,0,2,30,29,10:23:49 09-Aug-2024,CS,0,44.8851,-66.4607,44.8851,-66.4607,46,,401677330,-124
BOF2,267426,Mk10,DS,2,0,2,635,635,11:53:32 09-Aug-2024,NK,B,44.9307,-66.6333,44.9307,-66.6333,8,,401677325,-130
BOF2,267426,Mk10,DS,2,0,2,54,54,11:58:23 09-Aug-2024,CS,B,44.8069,-66.3283,44.8069,-66.3283,7,,401677367,-132
BOF2,267426,Mk10,DS,2,0,1,42,42,12:08:45 09-Aug-2024,NP,B,44.6709,-66.8200,44.6709,-66.8200,6,,401677244,-138
BOF2,267426,Mk10,DS,3,0,1,65,33,12:29:44 09-Aug-2024,MC,A,44.7431,-66.7142,44.7431,-66.7142,6,,401677293,-130
BOF2,267426,Mk10,DS,4,0,2,29,19,13:32:05 09-Aug-2024,NK,0,44.7730,-66.6397,44.7730,-66.6397,46,,401677325,-133
BOF2,267426,Mk10,DS,1,0,1,,,14:15:51 09-Aug-2024,MC,B,44.7829,-66.5896,44.7829,-66.5896,8,,401677295,-116
BOF2,267426,Mk10,DS,1,0,0,,,14:42:55 09-Aug-2024,NN,B,44.7870,-66.5697,44.7870,-66.5697,6,,401677307,-133
BOF2,267426,Mk10,DS,3,0,2,257,37,14:54:55 09-Aug-2024,MB,A,44.8718,-66.5406,44.8718,-66.5406,6,,401677344,-124
BOF2,267426,Mk10,DS,2,0,1,19,19,15:12:48 09-Aug-2024,O3,B,44.8738,-66.5181,44.8738,-66.5181,6,,401677348,-131
BOF2,267426,Mk10,DS,1,0,0,,,15:33:12 09-Aug-2024,NP,B,44.8746,-66.5011,44.8746,-66.5011,6,,401677348,-131
BOF2,267426,Mk10,DS,7,0,4,99,20,16:23:17 09-Aug-2024,NN,1,44.8057,-66.6667,44.8057,-66.6667,58,,401677312,-122
BOF2,267426,Mk10,DS,2,0,1,34,34,21:27:37 09-Aug-2024,SR,B,44.7896,-66.7105,44.7896,-66.7105,8,,401677298,-125
BOF2,267426,Mk10,DS,2,0,0,161,161,21:36:38 09-Aug-2024,NK,B,44.8109,-66.6925,44.8109,-66.6925,6,,401677341,-128
BOF2,267426,Mk10,DS,2,0,0,161,161,21:37:58 09-Aug-2024,CS,B,44.8010,-66.7037,44.8010,-66.7037,6,,401677342,-126
BOF2,267426,Mk10,DS,5,0,4,115,18,22:49:31 09-Aug-2024,A1,1,44.7809,-66.6493,44.7809,-66.6493,58,,401677320,-129
BOF2,267426,Mk10,DS,6,0,2,82,20,23:03:40 09-Aug-2024,SR,1,44.7795,-66.5858,44.7795,-66.5858,46,,401677320,-116
BOF2,267426,Mk10,DS,2,0,1,39,39,23:09:44 09-Aug-2024,NK,B,44.7806,-66.5872,44.7806,-66.5872,6,,401677322,-127
BOF2,267426,Mk10,DS,3,0,2,118,65,23:33:17 09-Aug-2024,NP,A,44.7938,-66.6722,44.7938,-66.6722,6,,401677333,-132
BOF2,267426,Mk10,DS,4,0,2,71,30,23:58:06 09-Aug-2024,MC,0,44.7952,-66.6507,44.7952,-66.6507,56,,401677323,-115
BOF2,267426,Mk10,DS,5,0,4,51,18,00:24:38 10-Aug-2024,A1,1,44.7779,-66.6147,44.7779,-66.6147,46,,401677343,-133
BOF2,267426,Mk10,DS,1,0,1,,,00:32:08 10-Aug-2024,NN,B,44.7785,-66.6149,44.7785,-66.6149,6,,401677349,-137
BOF2,267426,Mk10,DS,4,0,3,89,20,00:40:50 10-Aug-2024,SR,1,44.7975,-66.6460,44.7975,-66.6460,56,,401677357,-131
BOF2,267426,Mk10,DS,3,0,3,172,20,00:43:28 10-Aug-2024,MB,A,44.7911,-66.6344,44.7911,-66.6344,6,,401677353,-124
BOF2,267426,Mk10,DS,2,0,2,154,154,00:54:33 10-Aug-2024,NK,B,44.7831,-66.6472,44.7831,-66.6472,6,,401677348,-130
BOF2,267426,Mk10,DS,1,0,0,,,01:16:20 10-Aug-2024,NP,B,44.7899,-66.6515,44.7899,-66.6515,6,,401677371,-121
BOF2,267426,Mk10,DS,3,0,0,193,17,01:36:30 10-Aug-2024,MC,A,44.8141,-66.6615,44.8141,-66.6615,6,,401677346,-113
BOF2,267426,Mk10,DS,3,0,2,70,27,02:15:13 10-Aug-2024,NN,A,44.8224,-66.6586,44.8224,-66.6586,8,,401677342,-116
BOF2,267426,Mk10,DS,1,0,0,,,02:22:30 10-Aug-2024,O3,B,44.8128,-66.6622,44.8128,-66.6622,6,,401677344,-133
BOF2,267426,Mk10,DS,1,0,0,,,02:57:38 10-Aug-2024,NP,B,44.8086,-66.6614,44.8086,-66.6614,7,,401677356,-132
BOF2,267426,Mk10,DS,4,0,2,125,16,08:39:52 10-Aug-2024,SR,0,44.9224,-66.5794,44.9224,-66.5794,48,,401677303,-121
BOF2,267426,Mk10,DS,2,0,2,57,57,09:27:07 10-Aug-2024,A1,B,44.8910,-66.5926,44.8910,-66.5926,8,,401677241,-131
BOF2,267426,Mk10,DS,3,0,3,27,27,09:40:33 10-Aug-2024,CS,A,44.8257,-66.6719,44.8257,-66.6719,5,,401677374,-122
BOF2,267426,Mk10,DS,2,0,2,33,33,10:21:05 10-Aug-2024,SR,B,44.7556,-66.6787,44.7556,-66.6787,8,,401677312,-116
BOF2,267426,Mk10,DS,2,0,1,44,44,11:01:15 10-Aug-2024,A1,B,44.7272,-66.5946,44.7272,-66.5946,6,,401677333,-132
BOF2,267426,Mk10,DS,1,0,1,,,11:14:51 10-Aug-2024,CS,B,44.7229,-66.5956,44.7229,-66.5956,6,,401677349,-136
BOF2,267426,Mk10,DS,8,0,3,57,16,11:30:32 10-Aug-2024,NK,1,44.7067,-66.5305,44.7067,-66.5305,46,,401677347,-121
BOF2,267426,Mk10,DS,1,0,0,,,13:09:31 10-Aug-2024,NK,B,44.6439,-66.4911,44.6439,-66.4911,8,,401677317,-123
