DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
CCS-2013,234801,,Mk10,00:00:00 04-Jul-2022,,,,0.000000,0.000000,Behavior,29.750000,0.250000,Behavior
CCS-2013,234801,,Mk10,00:00:00 05-Jul-2022,,,,0.000000,0.000000,Behavior,29.750000,0.250000,Behavior
CCS-2013,234801,,Mk10,00:00:00 06-Jul-2022,,,,0.000000,0.000000,Behavior,30.750000,0.250000,Behavior
CCS-2013,234801,,Mk10,00:00:00 07-Jul-2022,,,,0.000000,0.000000,Behavior,25.750000,0.250000,Behavior
CCS-2013,234801,,Mk10,00:00:00 08-Jul-2022,,,,0.000000,0.000000,Status,30.750000,0.250000,Behavior
CCS-2013,234801,,Mk10,00:00:00 09-Jul-2022,,,,0.000000,0.000000,Behavior,30.750000,0.250000,Behavior
CCS-2013,234801,,Mk10,00:00:00 10-Jul-2022,,,,0.000000,0.000000,Behavior,35.750000,0.250000,Behavior
CCS-2013,234801,,Mk10,00:00:00 11-Jul-2022,,,,0.000000,0.000000,Behavior,42.750000,0.250000,Behavior
CCS-2013,234801,,Mk10,00:00:00 12-Jul-2022,,,,0.000000,0.000000,Behavior,27.750000,0.250000,Behavior
CCS-2013,234801,,Mk10,00:00:00 13-Jul-2022,,,,0.000000,0.000000,Status,24.000000,0.000000,Behavior
CCS-2013,234801,,Mk10,00:00:00 14-Jul-2022,,,,0.000000,0.000000,Behavior,33.750000,0.250000,Behavior
CCS-2013,234801,,Mk10,00:00:00 15-Jul-2022,,,,0.000000,0.000000,Status,35.750000,0.250000,Behavior
CCS-2013,234801,,Mk10,00:00:00 16-Jul-2022,,,,0.000000,0.000000,Status,28.750000,0.250000,Behavior
CCS-2013,234801,,Mk10,00:00:00 17-Jul-2022,,,,0.000000,0.000000,Behavior,28.750000,0.250000,Behavior
CCS-2013,234801,,Mk10,00:00:00 18-Jul-2022,,,,0.000000,0.000000,Status,33.750000,0.250000,Behavior
CCS-2013,234801,,Mk10,00:00:00 19-Jul-2022,,,,0.000000,0.000000,Status,39.750000,0.250000,Behavior
CCS-2013,234801,,Mk10,00:00:00 20-Jul-2022,,,,0.000000,0.000000,Behavior,23.500000,0.000000,Behavior
CCS-2013,234801,,Mk10,00:00:00 21-Jul-2022,,,,0.375000,0.375000,TimeSeries,3.250000,0.500000,TimeSeries
