DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
CCS-2013,234801,,Mk10,,00:39:11 08-Jul-2022,00:42:16 08-Jul-2022,185,0,42.0904,-70.3263,CRC,0,0,,,,1.008,0.140,,1.5,30.0,-1,,,,,,,,,,,105,14,255,80,256,,,,,,,,,0,,,,,,,,,,
CCS-2013,234801,,Mk10,,01:44:57 08-Jul-2022,01:48:02 08-Jul-2022,185,0,42.0799,-70.4230,CRC,0,0,,,,1.000,0.200,,0.5,30.0,-1,,,,,,,,,,,203,14,255,80,256,,,,,,,,,0,,,,,,,,,,
CCS-2013,234801,,Mk10,,,02:28:22 08-Jul-2022,,2,42.1285,-70.2629,,0,0,,3397,2.800,1.000,0.188,20.50,42.0,30.0,-1,,,,,,,,,,,,14,180,80,32127,,,,,,,,,0,,,,,,,,,,
CCS-2013,234801,,Mk10,,10:27:41 08-Jul-2022,10:30:46 08-Jul-2022,185,B,42.1640,-70.1433,CRC,0,0,,,,1.000,0.172,,0.5,30.0,-1,,,,,,,,,,,146,14,255,80,256,,,,,,,,,0,,,,,,,,,,
CCS-2013,234801,,Mk10,,,00:50:54 09-Jul-2022,,0,42.1002,-70.2453,,0,0,,3781,3.120,1.008,0.156,20.40,3.5,30.0,-1,,,,,,,,,,,7,13,248,80,32511,,,,,,,,,0,,,,,,,,,,
CCS-2013,234801,,Mk10,,,00:42:54 13-Jul-2022,,B,42.3187,-69.9674,,0,0,,5701,3.248,1.008,0.136,19.80,73.5,28.0,-1,,,,,,,,,,,,29,158,80,36071,,,,,,,,,0,,,,,,,,,,
CCS-2013,234801,,Mk10,,03:12:14 13-Jul-2022,03:15:20 13-Jul-2022,186,3,41.9539,-70.2285,CRC,0,0,,,,1.000,0.196,,1.0,28.0,-1,,,,,,,,,,,116,13,255,80,5376,,,,,,,,,0,,,,,,,,,,
CCS-2013,234801,,Mk10,,00:00:14 15-Jul-2022,00:03:20 15-Jul-2022,186,B,42.2628,-69.9284,CRC,0,0,,,,1.008,0.144,,0.5,52.0,-1,,,,,,,,,,,118,16,255,80,5376,,,,,,,,,0,,,,,,,,,,
CCS-2013,234801,,Mk10,,,01:00:12 15-Jul-2022,,B,42.2339,-70.0983,CRC,0,0,,6661,3.312,1.000,0.184,17.70,0.5,52.0,-1,,,,,,,,,,,125,16,255,80,5376,,,,,,,,,0,,,,,,,,,,
CCS-2013,234801,,Mk10,,02:36:09 15-Jul-2022,02:39:15 15-Jul-2022,186,B,42.2091,-70.0474,CRC,0,0,,,,1.000,0.160,,0.0,52.0,-1,,,,,,,,,,,248,16,255,80,5376,,,,,,,,,0,,,,,,,,,,
CCS-2013,234801,,Mk10,,,11:53:43 15-Jul-2022,,1,42.1293,-70.1887,CRC,0,0,,6917,3.184,1.008,0.168,18.80,1.0,52.0,-1,,,,,,,,,,,103,16,255,80,5376,,,,,,,,,0,,,,,,,,,,
CCS-2013,234801,,Mk10,,00:30:50 16-Jul-2022,00:33:57 16-Jul-2022,187,1,42.1076,-70.1958,CRC,0,0,,,,1.000,0.320,,1.0,38.0,-1,,,,,,,,,,,189,17,255,80,5376,,,,,,,,,0,,,,,,,,,,
CCS-2013,234801,,Mk10,,,11:06:45 16-Jul-2022,,0,42.1091,-70.1355,CRC,0,0,,7493,3.248,1.008,0.180,18.00,1.5,38.0,-1,,,,,,,,,,,186,17,255,80,5376,,,,,,,,,0,,,,,,,,,,
CCS-2013,234801,,Mk10,,00:32:01 18-Jul-2022,00:35:08 18-Jul-2022,187,0,42.1336,-70.1167,CRC,0,0,,,,1.008,0.156,,1.0,28.0,-1,,,,,,,,,,,104,18,255,80,5376,,,,,,,,,0,,,,,,,,,,
CCS-2013,234801,,Mk10,,14:27:44 19-Jul-2022,14:30:51 19-Jul-2022,187,0,42.3563,-70.1778,CRC,0,0,,,,1.008,0.152,,1.5,38.0,-1,,,,,,,,,,,231,18,255,80,5376,,,,,,,,,0,,,,,,,,,,
