DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
CCS-0304,243052,Mk10,Strong,26-Jul-2023,12:51:52,26-Jul-2023,12:51:59
CCS-0304,243052,Mk10,Strong,28-Jul-2023,14:31:06,28-Jul-2023,14:31:13
