DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
CCS-0521,234800,Mk10,DS,5,0,4,105,15,11:01:04 29-Jul-2022,SR,0,41.0640,-70.9610,41.0640,-70.9610,48,,401677790,-128
CCS-0521,234800,Mk10,DS,1,0,1,,,11:07:57 29-Jul-2022,A1,B,41.0650,-70.9631,41.0650,-70.9631,6,,401677790,-132
CCS-0521,234800,Mk10,DS,3,0,1,152,44,11:17:38 29-Jul-2022,NK,A,41.1222,-70.9556,41.1222,-70.9556,6,,401677811,-131
CCS-0521,234800,Mk10,DS,5,0,1,73,15,12:26:28 29-Jul-2022,NP,0,41.0660,-70.9705,41.0660,-70.9705,48,,401677770,-123
CCS-0521,234800,Mk10,DS,4,0,1,256,71,12:53:57 29-Jul-2022,NK,0,41.1046,-71.0021,41.1046,-71.0021,46,,401677794,-125
CCS-0521,234800,Mk10,DS,4,0,2,179,76,13:22:57 29-Jul-2022,MC,1,41.0951,-70.9650,41.0951,-70.9650,56,,401677788,-127
CCS-0521,234800,Mk10,DS,2,0,1,168,168,14:02:10 29-Jul-2022,NN,B,41.0878,-70.9866,41.0878,-70.9866,8,,401677782,-137
CCS-0521,234800,Mk10,DS,5,0,3,119,32,14:05:13 29-Jul-2022,NP,0,41.1198,-70.9666,41.1198,-70.9666,46,,401677793,-132
CCS-0521,234800,Mk10,DS,1,0,0,,,14:10:03 29-Jul-2022,MB,B,41.1194,-70.9661,41.1194,-70.9661,6,,401677804,-130
CCS-0521,234800,Mk10,DS,4,0,3,191,15,15:02:31 29-Jul-2022,MC,0,41.0762,-70.8834,41.0762,-70.8834,58,,401677791,-115
CCS-0521,234800,Mk10,DS,5,0,4,156,18,15:44:21 29-Jul-2022,NN,0,41.1118,-70.9514,41.1118,-70.9514,48,,401677785,-125
CCS-0521,234800,Mk10,DS,1,0,1,,,17:25:48 29-Jul-2022,NN,B,41.1107,-70.9829,41.1107,-70.9829,8,,401677791,-137
CCS-0521,234800,Mk10,DS,4,0,2,103,24,21:37:19 29-Jul-2022,SR,0,41.0567,-71.0092,41.0567,-71.0092,48,,401677781,-126
CCS-0521,234800,Mk10,DS,1,0,0,,,22:34:48 29-Jul-2022,A1,B,41.0508,-71.0209,41.0508,-71.0209,8,,401677787,-130
CCS-0521,234800,Mk10,DS,1,0,1,,,22:41:12 29-Jul-2022,NK,B,41.0612,-71.0182,41.0612,-71.0182,6,,401677804,-137
CCS-0521,234800,Mk10,DS,3,0,2,107,76,23:09:56 29-Jul-2022,SR,A,41.1222,-70.9693,41.1222,-70.9693,6,,401677809,-120
CCS-0521,234800,Mk10,DS,1,0,1,,,23:55:53 29-Jul-2022,NP,B,41.1091,-70.9652,41.1091,-70.9652,8,,401677787,-132
CCS-0521,234800,Mk10,DS,2,0,2,144,144,00:20:13 30-Jul-2022,NK,B,41.0982,-70.9924,41.0982,-70.9924,8,,401677783,-125
CCS-0521,234800,Mk10,DS,1,0,0,,,00:46:07 30-Jul-2022,MC,B,41.1048,-70.9665,41.1048,-70.9665,8,,401677795,-119
CCS-0521,234800,Mk10,DS,2,0,2,23,23,01:30:49 30-Jul-2022,NN,B,41.0952,-70.9357,41.0952,-70.9357,8,,401677776,-127
CCS-0521,234800,Mk10,DS,1,0,1,,,01:35:01 30-Jul-2022,MB,B,41.0948,-70.9353,41.0948,-70.9353,6,,401677775,-125
CCS-0521,234800,Mk10,DS,1,0,1,,,01:35:01 30-Jul-2022,NP,B,41.0891,-70.9344,41.0891,-70.9344,,,401677794,-135
CCS-0521,234800,Mk10,DS,1,0,1,,,02:26:53 30-Jul-2022,MC,B,41.0827,-70.9307,41.0827,-70.9307,8,,401677797,-127
CCS-0521,234800,Mk10,DS,3,0,1,97,38,03:15:35 30-Jul-2022,NN,A,41.0718,-70.9201,41.0718,-70.9201,8,,401677802,-127
CCS-0521,234800,Mk10,DS,1,0,1,,,08:56:03 30-Jul-2022,SR,B,41.0156,-70.8909,41.0156,-70.8909,8,,401677812,-138
CCS-0521,234800,Mk10,DS,1,0,1,,,09:19:53 30-Jul-2022,A1,B,41.0366,-70.9021,41.0366,-70.9021,6,,401677801,-140
CCS-0521,234800,Mk10,DS,3,0,1,59,43,10:28:52 30-Jul-2022,SR,A,41.0890,-70.9749,41.0890,-70.9749,8,,401677792,-119
CCS-0521,234800,Mk10,DS,5,0,3,135,28,10:44:51 30-Jul-2022,A1,0,41.0749,-71.0594,41.0749,-71.0594,46,,401677780,-136
