DeployID,Ptt,Instr,CorrectionType,TagDate,TagTime,RealDate,RealTime
CCS-0521,234800,Mk10,Strong,03-Jul-2022,11:13:46,03-Jul-2022,11:16:53
CCS-0521,234800,Mk10,Strong,03-Aug-2022,14:44:48,03-Aug-2022,14:47:59
